match_id,sofascore_id,break_number,half,start_minute,duration_min,duration_source
2,15186720,1,H1,23,2.0,manifest_ok
2,15186720,2,H2,70,2.0,manifest_ok
3,15186836,1,H1,23,2.0,manifest_ok
3,15186836,2,H2,69,3.0,manifest_ok
4,15186873,1,H1,24,3.0,imputed_median
4,15186873,2,H2,68,3.0,manifest_ok
5,15186526,1,H1,24,3.0,imputed_median
5,15186526,2,H2,68,2.0,manifest_ok
6,15186850,1,H1,23,3.0,manifest_ok
6,15186850,2,H2,68,2.0,manifest_ok
7,15186853,1,H1,23,3.0,manifest_ok
7,15186853,2,H2,67,3.0,manifest_ok
8,15186874,1,H1,23,2.0,manifest_ok
8,15186874,2,H2,68,2.0,manifest_ok
9,15186899,1,H1,23,2.0,manifest_ok
9,15186899,2,H2,69,3.0,manifest_ok
10,15186945,1,H1,23,3.0,manifest_ok
10,15186945,2,H2,67,3.0,manifest_ok
11,15186904,1,H1,24,3.0,manifest_ok
11,15186904,2,H2,69,3.0,manifest_ok
12,15186951,1,H1,22,4.0,manifest_ok
12,15186951,2,H2,69,2.0,manifest_ok
13,15186783,1,H1,23,3.0,manifest_ok
13,15186783,2,H2,68,3.0,manifest_ok
14,15186837,1,H1,22,3.0,manifest_ok
14,15186837,2,H2,67,3.0,manifest_ok
15,15186811,1,H1,23,4.0,manifest_ok
15,15186811,2,H2,69,3.0,manifest_ok
16,15186832,1,H1,25,3.0,manifest_ok
16,15186832,2,H2,68,3.0,manifest_ok
17,15186501,1,H1,26,4.0,manifest_ok
17,15186501,2,H2,68,3.0,manifest_ok
18,15186773,1,H1,24,3.0,manifest_ok
18,15186773,2,H2,69,3.0,imputed_median
19,15186854,1,H1,25,3.0,manifest_ok
19,15186854,2,H2,69,2.0,manifest_ok
20,15186751,1,H1,23,3.0,manifest_ok
20,15186751,2,H2,72,3.0,manifest_ok
21,15186709,1,H1,24,3.0,manifest_ok
21,15186709,2,H2,69,2.0,manifest_ok
22,15186504,1,H1,23,2.0,manifest_ok
22,15186504,2,H2,69,3.0,manifest_ok
23,15186687,1,H1,24,3.0,imputed_median
23,15186687,2,H2,68,3.0,manifest_ok
24,15186722,1,H1,23,3.0,manifest_ok
24,15186722,2,H2,69,2.0,manifest_ok
25,15186490,1,H1,23,3.0,manifest_ok
25,15186490,2,H2,68,2.0,manifest_ok
26,15186731,1,H1,23,3.0,manifest_ok
26,15186731,2,H2,69,3.0,manifest_ok
27,15186798,1,H1,25,3.0,imputed_median
27,15186798,2,H2,68,3.0,manifest_ok
28,15186806,1,H1,23,2.0,manifest_ok
28,15186806,2,H2,69,3.0,manifest_ok
29,15186856,1,H1,26,3.0,manifest_ok
29,15186856,2,H2,69,3.0,manifest_ok
30,15186859,1,H1,24,3.0,manifest_ok
30,15186859,2,H2,68,3.0,manifest_ok
31,15186878,1,H1,25,3.0,imputed_median
31,15186878,2,H2,68,3.0,manifest_ok
32,15186879,1,H1,26,3.0,manifest_ok
32,15186879,2,H2,68,3.0,manifest_ok
33,15186905,1,H1,25,3.0,manifest_ok
33,15186905,2,H2,72,3.0,manifest_ok
34,15186906,1,H1,24,3.0,manifest_ok
34,15186906,2,H2,68,3.0,manifest_ok
35,15186957,1,H1,23,3.0,manifest_ok
35,15186957,2,H2,69,3.0,manifest_ok
36,15186963,1,H1,24,3.0,manifest_ok
36,15186963,2,H2,70,3.0,manifest_ok
37,15186499,1,H1,30,3.0,imputed_median
37,15186499,2,H2,70,3.0,manifest_ok
38,15186827,1,H1,22,3.0,manifest_ok
38,15186827,2,H2,72,3.0,manifest_ok
39,15186840,1,H1,25,3.0,manifest_ok
39,15186840,2,H2,68,2.0,manifest_ok
40,15186800,1,H1,25,2.0,manifest_ok
40,15186800,2,H2,71,3.0,manifest_ok
41,15186769,1,H1,23,2.0,manifest_ok
42,15186770,1,H1,23,3.0,manifest_ok
42,15186770,2,H2,68,3.0,manifest_ok
43,15186502,1,H1,23,3.0,manifest_ok
43,15186502,2,H2,69,2.0,manifest_ok
45,15186858,1,H1,23,2.0,manifest_ok
45,15186858,2,H2,69,2.0,manifest_ok
46,15186713,1,H1,25,3.0,manifest_ok
46,15186713,2,H2,68,3.0,manifest_ok
47,15186672,1,H1,26,3.0,manifest_ok
47,15186672,2,H2,70,3.0,manifest_ok
48,15186520,1,H1,23,3.0,manifest_ok
48,15186520,2,H2,69,3.0,manifest_ok
49,15186732,1,H1,22,4.0,manifest_ok
49,15186732,2,H2,68,3.0,manifest_ok
50,15186744,1,H1,23,3.0,manifest_ok
50,15186744,2,H2,69,2.0,manifest_ok
51,15186821,1,H1,23,2.0,manifest_ok
51,15186821,2,H2,71,3.0,manifest_ok
52,15186829,1,H1,23,3.0,imputed_median
52,15186829,2,H2,69,3.0,manifest_ok
53,15186861,1,H1,25,3.0,manifest_ok
53,15186861,2,H2,68,3.0,manifest_ok
54,15186864,1,H1,23,3.0,imputed_median
54,15186864,2,H2,68,3.0,manifest_ok
55,15186887,1,H1,23,3.0,manifest_ok
55,15186887,2,H2,67,3.0,manifest_ok
56,15186891,1,H1,24,2.0,manifest_ok
56,15186891,2,H2,68,3.0,manifest_ok
57,15186907,1,H1,27,3.0,manifest_ok
57,15186907,2,H2,69,2.0,manifest_ok
58,15186908,1,H1,23,3.0,imputed_median
58,15186908,2,H2,68,3.0,manifest_ok
59,15186973,1,H1,23,3.0,manifest_ok
59,15186973,2,H2,69,3.0,manifest_ok
60,15186972,1,H1,24,3.0,manifest_ok
60,15186972,2,H2,68,3.0,manifest_ok
61,15186822,1,H1,24,2.0,manifest_ok
61,15186822,2,H2,69,2.0,manifest_ok
62,15186828,1,H1,23,3.0,manifest_ok
62,15186828,2,H2,69,2.0,manifest_ok
63,15186841,1,H1,23,3.0,manifest_ok
63,15186841,2,H2,68,2.0,manifest_ok
64,15186803,1,H1,24,3.0,manifest_ok
64,15186803,2,H2,69,3.0,manifest_ok
65,15186537,1,H1,24,3.0,imputed_median
65,15186537,2,H2,68,3.0,manifest_ok
66,15186771,1,H1,23,3.0,manifest_ok
66,15186771,2,H2,67,2.0,manifest_ok
67,15186734,1,H1,23,2.0,manifest_ok
67,15186734,2,H2,68,2.0,manifest_ok
68,15186747,1,H1,23,3.0,imputed_median
68,15186747,2,H2,68,3.0,manifest_ok
69,15186696,1,H1,25,3.0,manifest_ok
69,15186696,2,H2,68,3.0,manifest_ok
70,15186717,1,H1,23,3.0,imputed_median
70,15186717,2,H2,70,2.0,manifest_ok
71,15186676,1,H1,23,3.0,imputed_median
71,15186676,2,H2,69,3.0,manifest_ok
72,15186624,1,H1,25,4.0,manifest_ok
72,15186624,2,H2,69,2.0,manifest_ok
73,12813000,1,H1,23,3.0,imputed_median
73,12813000,2,H2,67,3.0,imputed_median
74,12813012,1,H1,23,3.0,imputed_median
74,12813012,2,H2,68,3.0,imputed_median
75,12813014,1,H1,23,3.0,imputed_median
75,12813014,2,H2,70,3.0,imputed_median
76,12812998,1,H1,22,3.0,imputed_median
76,12812998,2,H2,67,3.0,imputed_median
77,12812989,1,H1,24,3.0,imputed_median
77,12812989,2,H2,68,3.0,imputed_median
78,12812995,1,H1,23,3.0,imputed_median
78,12812995,2,H2,68,3.0,imputed_median
79,12813001,1,H1,25,3.0,imputed_median
79,12813001,2,H2,68,3.0,imputed_median
80,12813020,1,H1,23,3.0,imputed_median
80,12813020,2,H2,68,3.0,imputed_median
81,12813013,1,H1,27,3.0,imputed_median
81,12813013,2,H2,70,3.0,imputed_median
82,12812992,1,H1,23,3.0,imputed_median
82,12812992,2,H2,69,3.0,imputed_median
83,12813004,1,H1,24,3.0,imputed_median
83,12813004,2,H2,68,3.0,imputed_median
84,12812997,1,H1,24,3.0,imputed_median
84,12812997,2,H2,69,3.0,imputed_median
85,12813019,1,H1,25,3.0,imputed_median
85,12813019,2,H2,67,3.0,imputed_median
86,12813018,1,H1,23,3.0,imputed_median
86,12813018,2,H2,68,3.0,imputed_median
87,12812999,1,H1,25,3.0,imputed_median
87,12812999,2,H2,73,3.0,imputed_median
88,12813011,1,H1,24,3.0,imputed_median
88,12813011,2,H2,69,3.0,imputed_median
89,12813010,1,H1,23,3.0,imputed_median
89,12813010,2,H2,73,3.0,imputed_median
90,12813009,1,H1,24,3.0,imputed_median
90,12813009,2,H2,68,3.0,imputed_median
91,12813006,1,H1,27,3.0,imputed_median
91,12813006,2,H2,68,3.0,imputed_median
92,12813007,1,H1,23,3.0,imputed_median
92,12813007,2,H2,71,3.0,imputed_median
93,12812990,1,H1,23,3.0,imputed_median
93,12812990,2,H2,68,3.0,imputed_median
