match_id,sofascore_id,break_number,half,stage,start_minute,manifest_start,manifest_end,duration_display_min,band_quality,commentary_minute,n_commentary,timing_consistent,margin,leadside,orient,pre_level,pre_slope,post_level,wbgt,tempC,local_hour,elo_home,elo_away,elo_gap_or,unit
2,15186720,1,H1,GRP,23,23.0,25.0,2.0,ok,,,True,0,level,-1,12.2,20.4,5.8,23.4,21.0,20,1786.0,1843.0,57.0,T15186720_23
2,15186720,2,H2,GRP,70,70.0,72.0,2.0,ok,,,True,0,level,1,34.4,11.8,16.8,23.4,21.0,20,1786.0,1843.0,-57.0,T15186720_70
3,15186836,1,H1,GRP,23,23.0,25.0,2.0,ok,,,True,1,away,-1,-21.8,36.6,-4.0,25.0,25.7,15,1788.0,1595.0,-193.0,T15186836_23
3,15186836,2,H2,GRP,69,69.0,72.0,3.0,ok,,,True,1,away,-1,-13.0,-11.2,-20.8,25.0,25.7,15,1788.0,1595.0,-193.0,T15186836_69
4,15186873,1,H1,GRP,24,24.0,52.0,,implausible_end,,,True,1,home,1,9.0,4.6,18.8,23.8,20.7,18,1780.0,1780.0,0.0,T15186873_24
4,15186873,2,H2,GRP,68,68.0,71.0,3.0,ok,,,True,3,home,1,19.2,-12.8,-1.4,23.8,20.7,18,1780.0,1780.0,0.0,T15186873_68
5,15186526,1,H1,GRP,24,24.0,58.0,,implausible_end,,,True,1,away,-1,16.8,19.4,17.8,23.9,21.6,12,1421.0,1891.0,470.0,T15186526_24
5,15186526,2,H2,GRP,68,68.0,70.0,2.0,ok,,,True,1,away,-1,24.2,2.4,16.8,23.9,21.6,12,1421.0,1891.0,470.0,T15186526_68
6,15186850,1,H1,GRP,23,23.0,26.0,3.0,ok,,,True,1,away,-1,-12.8,14.1,11.6,26.9,30.9,18,1991.0,1827.0,-164.0,T15186850_23
6,15186850,2,H2,GRP,68,68.0,70.0,2.0,ok,,,True,0,level,1,14.6,-1.6,4.2,26.9,30.9,18,1991.0,1827.0,164.0,T15186850_68
7,15186853,1,H1,GRP,23,23.0,26.0,3.0,ok,,,True,0,level,-1,11.4,-6.3,9.4,22.8,22.3,21,1536.0,1794.0,258.0,T15186853_23
7,15186853,2,H2,GRP,67,67.0,70.0,3.0,ok,,,True,1,away,-1,5.0,-0.8,4.6,22.8,22.3,21,1536.0,1794.0,258.0,T15186853_67
8,15186874,1,H1,GRP,23,23.0,25.0,2.0,ok,,,True,0,level,-1,0.2,8.9,0.4,22.0,21.8,21,1839.0,1849.0,10.0,T15186874_23
8,15186874,2,H2,GRP,68,68.0,70.0,2.0,ok,,,True,1,home,1,-39.0,-4.9,-21.2,22.0,21.8,21,1839.0,1849.0,-10.0,T15186874_68
9,15186899,1,H1,GRP,23,23.0,25.0,2.0,ok,,,True,0,level,-1,11.0,7.9,1.6,34.5,29.8,12,1932.0,1434.0,-498.0,T15186899_23
9,15186899,2,H2,GRP,69,69.0,72.0,3.0,ok,,,True,4,home,1,-14.6,-10.0,19.2,34.5,29.8,12,1932.0,1434.0,498.0,T15186899_69
10,15186945,1,H1,GRP,23,23.0,26.0,3.0,ok,,,True,0,level,1,28.2,8.0,-8.4,32.0,29.1,15,1948.0,1906.0,42.0,T15186945_23
10,15186945,2,H2,GRP,67,67.0,70.0,3.0,ok,,,True,1,home,1,18.0,10.2,13.4,32.0,29.1,15,1948.0,1906.0,42.0,T15186945_67
11,15186904,1,H1,GRP,24,24.0,27.0,3.0,ok,,,True,0,level,1,37.8,-0.8,-16.2,28.5,29.4,19,1695.0,1938.0,-243.0,T15186904_24
11,15186904,2,H2,GRP,69,69.0,72.0,3.0,ok,,,True,0,level,1,12.0,-7.6,-14.0,28.5,29.4,19,1695.0,1938.0,-243.0,T15186904_69
12,15186951,1,H1,GRP,22,22.0,26.0,4.0,ok,,,True,1,home,1,-0.8,1.1,-4.0,31.2,28.9,20,1755.0,1585.0,170.0,T15186951_22
12,15186951,2,H2,GRP,69,69.0,71.0,2.0,ok,,,True,2,home,1,1.2,9.1,-3.2,31.2,28.9,20,1755.0,1585.0,170.0,T15186951_69
13,15186783,1,H1,GRP,23,23.0,26.0,3.0,ok,,,True,0,level,1,35.6,-5.4,6.6,26.2,25.8,12,2157.0,1578.0,579.0,T15186783_23
13,15186783,2,H2,GRP,68,68.0,71.0,3.0,ok,,,True,0,level,1,47.2,-6.7,24.8,26.2,25.8,12,2157.0,1578.0,579.0,T15186783_68
14,15186837,1,H1,GRP,22,22.0,25.0,3.0,ok,,,True,1,away,-1,-1.4,6.8,6.6,26.1,28.9,12,1894.0,1696.0,-198.0,T15186837_22
14,15186837,2,H2,GRP,67,67.0,70.0,3.0,ok,,,True,0,level,1,37.0,1.6,10.8,26.1,28.9,12,1894.0,1696.0,198.0,T15186837_67
15,15186811,1,H1,GRP,23,23.0,27.0,4.0,ok,,,True,0,level,1,4.2,-16.4,-1.2,32.1,32.8,18,1576.0,1892.0,-316.0,T15186811_23
15,15186811,2,H2,GRP,69,69.0,72.0,3.0,ok,,,True,1,home,1,-45.0,1.1,-21.2,32.1,32.8,18,1576.0,1892.0,-316.0,T15186811_69
16,15186832,1,H1,GRP,25,25.0,28.0,3.0,ok,,,True,1,away,-1,-2.6,-8.5,3.8,22.2,19.7,18,1756.0,1578.0,-178.0,T15186832_25
16,15186832,2,H2,GRP,68,68.0,71.0,3.0,ok,,,True,0,level,1,6.4,12.4,10.2,22.2,19.7,18,1756.0,1578.0,178.0,T15186832_68
17,15186501,1,H1,GRP,26,26.0,30.0,4.0,ok,,,True,0,level,1,14.6,-0.2,-22.0,22.2,25.4,15,2063.0,1860.0,203.0,T15186501_26
17,15186501,2,H2,GRP,68,68.0,71.0,3.0,ok,,,True,1,home,1,17.6,6.7,27.8,22.2,25.4,15,2063.0,1860.0,203.0,T15186501_68
18,15186773,1,H1,GRP,24,24.0,27.0,3.0,ok,,,True,0,level,-1,29.4,-1.5,-3.6,21.6,23.8,18,1607.0,1914.0,307.0,T15186773_24
18,15186773,2,H2,GRP,69,69.0,69.0,,implausible_end,,,True,1,away,-1,-22.8,0.4,20.2,21.6,23.8,18,1607.0,1914.0,307.0,T15186773_69
19,15186854,1,H1,GRP,25,25.0,28.0,3.0,ok,,,True,1,home,1,18.2,-2.2,2.6,24.5,26.5,20,2128.0,1759.0,369.0,T15186854_25
19,15186854,2,H2,GRP,69,69.0,71.0,2.0,ok,,,True,2,home,1,3.0,0.1,12.2,24.5,26.5,20,2128.0,1759.0,369.0,T15186854_69
20,15186751,1,H1,GRP,23,23.0,26.0,3.0,ok,,,True,1,home,1,10.8,4.1,18.2,19.7,16.7,21,1857.0,1653.0,204.0,T15186751_23
20,15186751,2,H2,GRP,72,72.0,75.0,3.0,ok,,,True,0,level,-1,20.4,1.7,4.4,19.7,16.7,21,1857.0,1653.0,-204.0,T15186751_72
21,15186709,1,H1,GRP,24,24.0,27.0,3.0,ok,,,True,1,home,1,32.0,-1.0,26.4,30.5,26.4,12,1989.0,1652.0,337.0,T15186709_24
21,15186709,2,H2,GRP,69,69.0,71.0,2.0,ok,,,True,0,level,1,26.2,9.4,23.0,30.5,26.4,12,1989.0,1652.0,337.0,T15186709_69
22,15186504,1,H1,GRP,23,23.0,25.0,2.0,ok,,,True,1,home,1,6.6,-8.7,-2.8,34.0,32.9,15,2024.0,1912.0,112.0,T15186504_23
22,15186504,2,H2,GRP,69,69.0,72.0,3.0,ok,,,True,1,home,1,3.8,2.7,5.0,34.0,32.9,15,2024.0,1912.0,112.0,T15186504_69
23,15186687,1,H1,GRP,24,24.0,24.0,,implausible_end,,,True,0,level,-1,3.8,6.2,8.6,19.4,17.4,19,1510.0,1730.0,220.0,T15186687_24
23,15186687,2,H2,GRP,68,68.0,71.0,3.0,ok,,,True,0,level,1,6.2,4.8,1.4,19.4,17.4,19,1510.0,1730.0,-220.0,T15186687_68
24,15186722,1,H1,GRP,23,23.0,26.0,3.0,ok,,,True,0,level,-1,34.8,-9.0,10.4,20.7,17.9,20,1698.0,1998.0,300.0,T15186722_23
24,15186722,2,H2,GRP,69,69.0,71.0,2.0,ok,,,True,1,away,-1,8.2,15.6,27.2,20.7,17.9,20,1698.0,1998.0,300.0,T15186722_69
25,15186490,1,H1,GRP,23,23.0,26.0,3.0,ok,,,True,0,level,1,12.2,6.7,8.4,23.5,20.9,19,1896.0,1771.0,125.0,T15186490_23
25,15186490,2,H2,GRP,68,68.0,70.0,2.0,ok,,,True,1,home,1,-12.0,2.6,-8.4,23.5,20.9,19,1896.0,1771.0,125.0,T15186490_68
26,15186731,1,H1,GRP,23,23.0,26.0,3.0,ok,,,True,1,home,1,0.6,-5.9,-15.2,30.6,26.9,12,1843.0,1511.0,332.0,T15186731_23
26,15186731,2,H2,GRP,69,69.0,72.0,3.0,ok,,,True,1,home,1,0.4,0.0,-5.0,30.6,26.9,12,1843.0,1511.0,332.0,T15186731_69
27,15186798,1,H1,GRP,25,25.0,53.0,,implausible_end,,,True,1,home,1,47.2,-12.1,30.4,22.9,22.2,15,1767.0,1447.0,320.0,T15186798_25
27,15186798,2,H2,GRP,68,68.0,71.0,3.0,ok,,,True,4,home,1,55.6,-0.3,30.4,22.9,22.2,15,1767.0,1447.0,320.0,T15186798_68
28,15186806,1,H1,GRP,23,23.0,25.0,2.0,ok,,,True,0,level,1,34.2,5.1,13.0,21.5,19.6,12,1865.0,1616.0,249.0,T15186806_23
28,15186806,2,H2,GRP,69,69.0,72.0,3.0,ok,,,True,0,level,1,6.2,-23.5,-24.4,21.5,19.6,12,1865.0,1616.0,249.0,T15186806_69
29,15186856,1,H1,GRP,26,26.0,29.0,3.0,ok,,,True,1,home,1,52.8,5.3,31.0,23.5,26.3,20,1986.0,1528.0,458.0,T15186856_26
29,15186856,2,H2,GRP,69,69.0,72.0,3.0,ok,,,True,3,home,1,-38.8,-5.1,17.4,23.5,26.3,20,1986.0,1528.0,458.0,T15186856_69
30,15186859,1,H1,GRP,24,24.0,27.0,3.0,ok,,,True,1,away,-1,24.6,-0.8,6.0,23.4,25.1,18,1794.0,1840.0,46.0,T15186859_24
30,15186859,2,H2,GRP,68,68.0,71.0,3.0,ok,,,True,1,away,-1,19.6,-7.4,24.6,23.4,25.1,18,1794.0,1840.0,46.0,T15186859_68
31,15186878,1,H1,GRP,25,25.0,41.0,,implausible_end,,,True,1,home,1,-3.2,-11.1,2.4,23.7,23.1,12,1780.0,1839.0,-59.0,T15186878_25
31,15186878,2,H2,GRP,68,68.0,71.0,3.0,ok,,,True,2,home,1,-28.0,-8.9,12.4,23.7,23.1,12,1780.0,1839.0,-59.0,T15186878_68
32,15186879,1,H1,GRP,26,26.0,29.0,3.0,ok,,,True,1,away,-1,-50.8,3.8,-44.0,21.5,20.8,20,1813.0,1816.0,3.0,T15186879_26
32,15186879,2,H2,GRP,68,68.0,71.0,3.0,ok,,,True,1,away,-1,-51.6,4.4,-11.8,21.5,20.8,20,1813.0,1816.0,3.0,T15186879_68
33,15186905,1,H1,GRP,25,25.0,28.0,3.0,ok,,,True,0,level,1,29.6,-4.4,1.0,21.0,20.4,16,1939.0,1743.0,196.0,T15186905_25
33,15186905,2,H2,GRP,72,72.0,75.0,3.0,ok,,,True,0,level,1,36.6,-4.3,19.8,21.0,20.4,16,1939.0,1743.0,196.0,T15186905_72
34,15186906,1,H1,GRP,24,24.0,27.0,3.0,ok,,,True,0,level,1,43.8,8.1,9.2,27.4,27.2,19,1864.0,1453.0,411.0,T15186906_24
34,15186906,2,H2,GRP,68,68.0,71.0,3.0,ok,,,True,0,level,1,53.4,17.4,49.0,27.4,27.2,19,1864.0,1453.0,411.0,T15186906_68
35,15186957,1,H1,GRP,23,23.0,26.0,3.0,ok,,,True,2,home,1,31.8,6.9,4.8,34.5,29.6,12,1944.0,1755.0,189.0,T15186957_23
35,15186957,2,H2,GRP,69,69.0,72.0,3.0,ok,,,True,3,home,1,-2.4,-1.7,-23.8,34.5,29.6,12,1944.0,1755.0,189.0,T15186957_69
36,15186963,1,H1,GRP,24,24.0,27.0,3.0,ok,,,True,1,away,-1,-1.2,-8.1,9.6,28.3,24.8,22,1570.0,1925.0,355.0,T15186963_24
36,15186963,2,H2,GRP,70,70.0,73.0,3.0,ok,,,True,3,away,-1,12.0,-7.2,26.6,28.3,24.8,22,1570.0,1925.0,355.0,T15186963_70
37,15186499,1,H1,GRP,30,30.0,73.0,,implausible_end,,,True,0,level,1,26.0,8.4,26.0,23.0,21.4,12,1879.0,1756.0,123.0,T15186499_30
37,15186499,2,H2,GRP,70,70.0,73.0,3.0,ok,,,True,0,level,1,5.2,-16.6,-4.4,23.0,21.4,12,1879.0,1756.0,123.0,T15186499_70
38,15186827,1,H1,GRP,22,22.0,25.0,3.0,ok,,,True,1,home,1,21.0,-6.6,-5.0,23.3,24.2,18,1549.0,1740.0,-191.0,T15186827_22
38,15186827,2,H2,GRP,72,72.0,75.0,3.0,ok,,,True,1,away,-1,16.6,3.7,22.4,23.3,24.2,18,1549.0,1740.0,191.0,T15186827_72
39,15186840,1,H1,GRP,25,25.0,28.0,3.0,ok,,,True,3,home,1,46.8,4.7,45.2,28.6,25.5,12,2129.0,1598.0,531.0,T15186840_25
39,15186840,2,H2,GRP,68,68.0,70.0,2.0,ok,,,True,4,home,1,11.0,3.0,20.8,28.6,25.5,12,2129.0,1598.0,531.0,T15186840_68
40,15186800,1,H1,GRP,25,25.0,27.0,2.0,ok,,,True,1,away,-1,19.6,-5.8,-12.8,33.6,33.1,18,1870.0,1606.0,-264.0,T15186800_25
40,15186800,2,H2,GRP,71,71.0,74.0,3.0,ok,,,True,0,level,1,16.0,10.6,5.6,33.6,33.1,18,1870.0,1606.0,264.0,T15186800_71
