match_id,break_number,half,fixture,home,away,start_minute,disruption,percentile,n_candidates,has_claim,stage,cell
2,1,H1,South Korea v Czechia,South Korea,Czechia,23,0,15.789473684210526,19,False,Group Stage,true_null
2,2,H2,South Korea v Czechia,South Korea,Czechia,70,0,0.0,3,False,Group Stage,true_null
3,1,H1,Canada v Bosnia and Herzegovina,Canada,Bosnia and Herzegovina,23,3,100.0,8,False,Group Stage,hidden_effect
3,2,H2,Canada v Bosnia and Herzegovina,Canada,Bosnia and Herzegovina,69,1,25.0,12,False,Group Stage,true_null
4,1,H1,USA v Paraguay,USA,Paraguay,24,2,100.0,10,False,Group Stage,hidden_effect
4,2,H2,USA v Paraguay,USA,Paraguay,68,2,56.25,16,False,Group Stage,mid
5,1,H1,Qatar v Switzerland,Qatar,Switzerland,24,2,66.66666666666666,6,False,Group Stage,mid
5,2,H2,Qatar v Switzerland,Qatar,Switzerland,68,0,21.052631578947366,19,False,Group Stage,true_null
6,1,H1,Brazil v Morocco,Brazil,Morocco,23,4,,0,True,Group Stage,unscored
6,2,H2,Brazil v Morocco,Brazil,Morocco,68,1,89.47368421052632,19,False,Group Stage,hidden_effect
7,1,H1,Haiti v Scotland,Haiti,Scotland,23,1,27.27272727272727,11,False,Group Stage,true_null
7,2,H2,Haiti v Scotland,Haiti,Scotland,67,1,55.55555555555556,18,False,Group Stage,mid
8,1,H1,Australia v Türkiye,Australia,Türkiye,23,2,81.81818181818183,11,False,Group Stage,hidden_effect
8,2,H2,Australia v Türkiye,Australia,Türkiye,68,1,27.27272727272727,11,False,Group Stage,true_null
9,1,H1,Germany v Curaçao,Germany,Curaçao,23,5,100.0,6,True,Group Stage,confirmed_feeling
9,2,H2,Germany v Curaçao,Germany,Curaçao,69,1,18.181818181818183,11,False,Group Stage,true_null
10,1,H1,Netherlands v Japan,Netherlands,Japan,23,1,72.22222222222221,18,False,Group Stage,mid
10,2,H2,Netherlands v Japan,Netherlands,Japan,67,1,37.5,8,False,Group Stage,true_null
11,1,H1,Côte d'Ivoire v Ecuador,Côte d'Ivoire,Ecuador,24,1,50.0,18,False,Group Stage,true_null
11,2,H2,Côte d'Ivoire v Ecuador,Côte d'Ivoire,Ecuador,69,1,50.0,18,False,Group Stage,true_null
12,1,H1,Sweden v Tunisia,Sweden,Tunisia,22,2,50.0,8,False,Group Stage,true_null
12,2,H2,Sweden v Tunisia,Sweden,Tunisia,69,2,100.0,9,False,Group Stage,hidden_effect
13,1,H1,Spain v Cabo Verde,Spain,Cabo Verde,23,1,55.55555555555556,18,False,Group Stage,mid
13,2,H2,Spain v Cabo Verde,Spain,Cabo Verde,68,3,94.44444444444444,18,False,Group Stage,hidden_effect
14,1,H1,Belgium v Egypt,Belgium,Egypt,22,1,37.5,8,False,Group Stage,true_null
14,2,H2,Belgium v Egypt,Belgium,Egypt,67,2,87.5,8,False,Group Stage,hidden_effect
15,1,H1,Saudi Arabia v Uruguay,Saudi Arabia,Uruguay,23,0,23.52941176470588,17,False,Group Stage,true_null
15,2,H2,Saudi Arabia v Uruguay,Saudi Arabia,Uruguay,69,1,76.92307692307693,13,True,Group Stage,mid
16,1,H1,IR Iran v New Zealand,IR Iran,New Zealand,25,3,27.27272727272727,11,False,Group Stage,true_null
16,2,H2,IR Iran v New Zealand,IR Iran,New Zealand,68,2,85.71428571428571,7,False,Group Stage,hidden_effect
