xg_home,xg_away,shots_home,sot_home,shots_away,sot_away,distance_km_home,distance_km_away,match_id
1.78,0.1,16,4,3,2,107.3,97.1,1
1.77,0.64,15,6,7,4,111.8,117.6,2
1.49,0.76,13,4,8,3,111.3,109.5,3
1.88,0.6,16,6,9,1,119.9,114.3,4
0.52,3.14,6,3,26,7,109.2,109.4,5
0.99,1.33,12,5,14,3,113.7,114.9,6
0.7,0.91,15,2,9,2,113.7,117.6,7
0.99,1.66,9,4,30,7,116.6,112.5,8
4.17,0.4,26,12,8,2,116.2,103.5,9
0.63,0.34,10,6,9,2,102.9,109.4,10
1.88,1.36,15,4,12,1,109.6,108.4,11
2.09,0.34,13,7,6,2,111.3,109.7,12
2.26,0.13,27,7,6,1,115.5,112.4,13
1.07,0.73,15,4,14,3,113.3,111.3,14
1.06,1.5,7,3,27,10,109.5,110.9,15
1.85,1.47,17,4,14,8,113.0,112.9,16
1.62,0.39,11,8,6,2,120.2,116.7,17
1.2,2.41,11,1,11,5,111.7,116.3,18
1.58,0.41,10,6,7,1,108.4,109.3,19
1.93,0.53,10,4,11,4,120.4,119.2,20
0.57,0.54,7,1,8,2,109.8,112.4,21
3.33,0.82,22,11,10,5,117.0,113.7,22
0.98,0.77,7,2,11,4,119.0,117.3,23
1.11,1.16,8,2,15,4,112.0,108.7,24
0.34,0.87,8,4,9,2,116.5,112.1,25
1.36,1.34,14,3,17,4,119.6,112.0,26
3.9,0.2,33,11,2,0,111.2,90.8,27
1.85,0.3,13,7,5,3,114.9,113.1,28
1.42,0.26,7,4,7,3,113.6,112.8,29
0.74,0.8,6,0,12,2,117.8,115.4,30
1.58,0.31,10,2,5,2,111.1,112.8,31
2.13,0.36,32,5,7,2,123.3,117.0,32
2.47,1.27,16,7,9,2,125.8,113.1,33
2.76,0.63,27,15,10,3,103.7,106.1,34
2.25,1.3,10,7,16,8,108.4,110.1,35
0.02,1.36,2,0,10,4,112.4,112.2,36
1.48,0.48,23,7,7,3,111.7,112.6,37
0.71,2.1,11,5,19,7,118.5,118.3,38
3.2,0.11,22,8,3,2,115.5,115.0,39
2.23,0.54,17,2,12,4,112.8,107.4,40
2.3,0.7,19,5,4,0,107.7,112.1,41
1.5,2.05,13,7,16,4,120.3,111.2,42
2.45,0.63,12,5,6,1,104.4,107.8,43
0.38,2.05,8,4,17,8,117.5,116.3,44
2.03,0.44,17,9,7,2,110.2,109.6,45
1.54,0.42,20,9,7,1,104.0,106.0,46
1.78,0.34,19,3,2,0,108.3,105.9,47
0.69,0.82,8,1,6,2,108.2,110.0,48
0.44,2.1,13,1,11,5,111.6,114.7,49
0.89,0.74,13,4,8,3,111.8,111.0,50
1.68,1.61,6,4,13,7,109.9,114.6,51
0.77,1.17,14,5,9,3,113.8,110.0,52
0.69,3.78,14,5,21,9,113.2,110.7,53
2.12,0.65,22,11,9,2,111.2,107.5,54
1.71,1.78,8,2,18,7,115.0,127.6,55
0.29,0.7,7,2,12,5,113.1,116.4,56
1.29,0.74,7,3,11,3,109.8,114.5,57
0.66,0.93,11,2,7,3,106.2,106.4,58
0.76,1.79,10,4,20,7,111.1,106.8,59
1.22,0.56,8,3,11,5,110.2,111.1,60
0.3,3.99,6,2,35,10,117.6,119.8,61
0.92,2.24,15,3,13,3,117.2,118.8,62
0.22,1.12,5,1,6,1,113.8,111.2,63
1.37,0.35,15,2,7,3,115.5,113.9,64
1.45,1.05,10,5,18,9,113.5,109.1,65
2.7,0.21,27,11,6,1,111.9,104.7,66
0.96,2.52,5,1,13,4,110.6,105.9,67
1.54,1.06,12,5,10,3,105.2,113.3,68
1.85,0.97,24,7,13,2,103.0,104.0,69
2.11,0.16,19,5,3,1,115.1,115.8,70
0.72,1.61,13,2,17,6,111.3,115.2,71
0.48,0.75,8,4,6,1,110.5,106.4,72
0.16,1.33,6,1,12,7,108.2,117.0,73
2.12,0.26,19,7,5,2,110.0,114.9,74
1.25,0.61,21,6,7,3,152.4,143.8,75
0.33,1.3,6,2,11,5,137.6,139.5,76
1.43,2.3,14,5,9,4,105.8,114.5,77
2.9,0.71,25,12,8,3,107.7,107.3,78
1.86,0.47,15,3,7,1,113.3,105.0,79
1.75,0.64,16,7,7,2,115.5,114.0,80
1.74,2.09,19,5,19,5,160.5,152.9,81
0.8,0.21,8,2,10,3,117.0,117.1,82
2.25,0.25,23,10,5,0,112.4,110.5,83
1.91,1.17,15,3,13,6,116.6,118.1,84
1.9,0.73,11,5,8,2,115.4,113.2,85
0.74,1.23,16,2,14,4,148.1,142.4,86
2.73,0.52,22,12,16,5,140.6,141.2,87
1.8,0.26,20,8,8,0,107.4,105.6,88
0.13,1.93,5,0,15,5,104.4,104.8,89
0.68,0.85,10,3,5,4,116.2,108.8,90
2.57,1.41,14,4,9,5,113.3,120.5,91
2.01,2.12,20,5,6,5,112.0,106.7,92
0.91,1.72,10,2,15,6,112.8,115.4,93
0.33,1.99,7,2,15,7,119.2,117.9,94
2.63,0.76,19,7,5,2,110.4,115.9,95
0.58,0.97,7,2,15,3,140.7,136.9,96
3.52,0.16,22,8,5,1,108.6,108.3,97
2.2,0.34,17,8,5,2,114.6,116.2,98
0.87,1.64,13,4,14,7,148.9,140.8,99
1.99,0.44,22,7,11,5,136.7,138.0,100
0.48,2.21,10,3,10,2,114.0,115.0,101
0.46,1.47,5,2,15,5,107.7,106.6,102
2.99,2.34,19,9,19,11,107.3,107.7,103
2.52,0.07,20,12,2,0,148.0,142.0,104
