tournament,match_id,stage,home,away,home_score,away_score,h1_end_minute,h2_end_minute,went_to_extra_time,et1_end_minute,et2_end_minute
WC2018,8650,Quarter-finals,Brazil,Belgium,1,2,46,95,False,,
WC2018,7584,Round of 16,Belgium,Japan,3,2,46,95,False,,
WC2018,7554,Group Stage,England,Panama,6,1,48,94,False,,
WC2018,7539,Group Stage,Poland,Senegal,1,2,46,94,False,,
WC2018,7550,Group Stage,Serbia,Switzerland,1,2,47,95,False,,
WC2018,7538,Group Stage,Sweden,South Korea,1,0,47,94,False,,
WC2018,7534,Group Stage,Germany,Mexico,0,1,46,93,False,,
WC2018,7543,Group Stage,Iran,Spain,0,1,48,94,False,,
WC2018,7544,Group Stage,Uruguay,Saudi Arabia,1,0,47,94,False,,
WC2018,7546,Group Stage,France,Peru,1,0,46,94,False,,
WC2018,7545,Group Stage,Argentina,Croatia,0,3,47,94,False,,
WC2018,7585,Round of 16,Colombia,England,1,1,49,96,True,106.0,121.0
WC2018,7569,Group Stage,Panama,Tunisia,1,2,47,97,False,,
WC2018,7572,Group Stage,Japan,Poland,0,1,46,93,False,,
WC2018,7561,Group Stage,Iceland,Croatia,1,2,47,94,False,,
WC2018,7540,Group Stage,Russia,Egypt,3,1,45,94,False,,
WC2018,7531,Group Stage,Argentina,Iceland,1,1,46,95,False,,
WC2018,7570,Group Stage,England,Belgium,0,1,45,93,False,,
WC2018,7586,Round of 16,Sweden,Switzerland,1,0,46,96,False,,
WC2018,7557,Group Stage,Iran,Portugal,1,1,48,97,False,,
WC2018,7542,Group Stage,Portugal,Morocco,1,0,48,95,False,,
WC2018,8656,Semi-finals,Croatia,England,2,1,46,93,True,108.0,124.0
WC2018,7548,Group Stage,Brazil,Costa Rica,2,0,46,98,False,,
WC2018,7578,Group Stage,Egypt,Uruguay,0,1,46,96,False,,
WC2018,7553,Group Stage,South Korea,Mexico,1,2,46,95,False,,
WC2018,7536,Group Stage,Belgium,Panama,3,0,47,94,False,,
WC2018,7555,Group Stage,Poland,Colombia,0,3,49,95,False,,
WC2018,7576,Group Stage,Portugal,Spain,3,3,45,94,False,,
WC2018,7565,Group Stage,Serbia,Brazil,0,2,46,93,False,,
WC2018,7551,Group Stage,Germany,Sweden,2,1,47,97,False,,
WC2018,7537,Group Stage,Tunisia,England,1,2,48,94,False,,
WC2018,7580,Round of 16,France,Argentina,4,3,47,95,False,,
WC2018,7581,Round of 16,Croatia,Denmark,1,1,47,93,True,106.0,121.0
WC2018,7549,Group Stage,Nigeria,Iceland,2,0,47,96,False,,
WC2018,7529,Group Stage,Croatia,Nigeria,2,0,46,94,False,,
WC2018,7562,Group Stage,Australia,Peru,0,2,46,94,False,,
WC2018,7571,Group Stage,Senegal,Colombia,0,1,48,93,False,,
WC2018,7568,Group Stage,Switzerland,Costa Rica,2,2,46,95,False,,
WC2018,7530,Group Stage,France,Australia,2,1,46,95,False,,
WC2018,7558,Group Stage,Uruguay,Russia,3,0,47,94,False,,
WC2018,7583,Round of 16,Brazil,Mexico,2,0,45,96,False,,
WC2018,7547,Group Stage,Denmark,Australia,1,1,47,93,False,,
WC2018,7535,Group Stage,Costa Rica,Serbia,0,1,47,97,False,,
WC2018,8649,Quarter-finals,Uruguay,France,0,2,47,94,False,,
WC2018,8658,Final,France,Croatia,4,2,48,95,False,,
WC2018,7582,Round of 16,Spain,Russia,1,1,47,94,True,106.0,121.0
WC2018,7552,Group Stage,Belgium,Tunisia,5,2,49,93,False,,
WC2018,7532,Group Stage,Peru,Denmark,0,1,48,95,False,,
WC2018,7560,Group Stage,Spain,Morocco,2,2,47,96,False,,
WC2018,7533,Group Stage,Brazil,Switzerland,1,1,47,96,False,,
WC2018,7564,Group Stage,Nigeria,Argentina,1,2,47,94,False,,
WC2018,7579,Round of 16,Uruguay,Portugal,2,1,47,95,False,,
WC2018,7577,Group Stage,Morocco,Iran,0,1,47,96,False,,
WC2018,7525,Group Stage,Russia,Saudi Arabia,5,0,47,94,False,,
WC2018,7566,Group Stage,Mexico,Sweden,0,3,47,94,False,,
WC2018,8651,Quarter-finals,Sweden,England,0,2,46,95,False,,
WC2018,7567,Group Stage,South Korea,Germany,2,0,48,99,False,,
WC2018,7541,Group Stage,Colombia,Japan,1,2,46,95,False,,
WC2018,8655,Semi-finals,France,Belgium,1,0,46,96,False,,
WC2018,8657,3rd Place Final,Belgium,England,2,0,47,93,False,,
WC2018,8652,Quarter-finals,Russia,Croatia,2,2,47,95,True,107.0,121.0
WC2018,7563,Group Stage,Denmark,France,0,0,47,93,False,,
WC2018,7556,Group Stage,Japan,Senegal,2,2,45,94,False,,
WC2018,7559,Group Stage,Saudi Arabia,Egypt,2,1,51,95,False,,
WC2022,3857276,Group Stage,Canada,Morocco,1,2,50,93,False,,
WC2022,3857271,Group Stage,England,Iran,6,2,59,103,False,,
