tournament,match_id,stage,period,minute,second,team,xg,is_goal,on_target
WC2018,8650,Quarter-finals,1,1,34,Belgium,0.020460658,False,False
WC2018,8650,Quarter-finals,1,7,12,Brazil,0.27402094,False,False
WC2018,8650,Quarter-finals,1,7,32,Belgium,0.06590014,False,False
WC2018,8650,Quarter-finals,1,7,35,Belgium,0.022908047,False,False
WC2018,8650,Quarter-finals,1,9,12,Brazil,0.17421605,False,False
WC2018,8650,Quarter-finals,1,9,50,Brazil,0.20371178,False,False
WC2018,8650,Quarter-finals,1,12,5,Belgium,0.078730114,False,False
WC2018,8650,Quarter-finals,1,14,38,Brazil,0.27625608,False,False
WC2018,8650,Quarter-finals,1,18,53,Brazil,0.06166237,False,True
WC2018,8650,Quarter-finals,1,25,19,Brazil,0.011753061,False,True
WC2018,8650,Quarter-finals,1,29,27,Brazil,0.06566521,False,False
WC2018,8650,Quarter-finals,1,29,35,Brazil,0.009290484,False,False
WC2018,8650,Quarter-finals,1,30,48,Belgium,0.036171924,True,True
WC2018,8650,Quarter-finals,1,35,4,Brazil,0.24829954,False,False
WC2018,8650,Quarter-finals,1,36,36,Brazil,0.010265937,False,True
WC2018,8650,Quarter-finals,1,40,36,Belgium,0.013607446,False,True
WC2018,8650,Quarter-finals,1,41,16,Belgium,0.05695575,False,True
WC2018,8650,Quarter-finals,2,51,42,Brazil,0.032326028,False,False
WC2018,8650,Quarter-finals,2,54,2,Brazil,0.035845775,False,True
WC2018,8650,Quarter-finals,2,61,15,Belgium,0.110522054,False,False
WC2018,8650,Quarter-finals,2,61,47,Brazil,0.011885792,False,True
WC2018,8650,Quarter-finals,2,63,0,Brazil,0.041887954,False,False
WC2018,8650,Quarter-finals,2,69,23,Brazil,0.0066976612,False,False
WC2018,8650,Quarter-finals,2,70,52,Brazil,0.02142523,False,True
WC2018,8650,Quarter-finals,2,74,27,Brazil,0.014297066,False,True
WC2018,8650,Quarter-finals,2,74,28,Brazil,0.1545206,False,False
WC2018,8650,Quarter-finals,2,75,20,Brazil,0.22554597,True,True
WC2018,8650,Quarter-finals,2,77,46,Brazil,0.080149576,False,False
WC2018,8650,Quarter-finals,2,80,1,Brazil,0.14648527,False,False
WC2018,8650,Quarter-finals,2,83,26,Brazil,0.14369768,False,False
WC2018,8650,Quarter-finals,2,91,46,Brazil,0.047560986,False,False
WC2018,8650,Quarter-finals,2,93,14,Brazil,0.047588326,False,True
WC2018,8650,Quarter-finals,2,93,46,Brazil,0.2641403,False,False
WC2018,7584,Round of 16,1,0,54,Japan,0.038844906,False,False
WC2018,7584,Round of 16,1,9,14,Japan,0.0054525062,False,False
WC2018,7584,Round of 16,1,15,13,Belgium,0.02329228,False,False
WC2018,7584,Round of 16,1,15,58,Belgium,0.038868416,False,False
WC2018,7584,Round of 16,1,16,33,Belgium,0.068028904,False,False
WC2018,7584,Round of 16,1,17,16,Belgium,0.062155474,False,False
WC2018,7584,Round of 16,1,17,17,Belgium,0.09683723,False,False
WC2018,7584,Round of 16,1,20,10,Belgium,0.053347003,False,False
WC2018,7584,Round of 16,1,24,53,Belgium,0.29904982,False,False
WC2018,7584,Round of 16,1,26,5,Belgium,0.074351706,False,False
WC2018,7584,Round of 16,1,26,32,Belgium,0.038630188,False,True
WC2018,7584,Round of 16,1,27,26,Belgium,0.37606573,False,False
WC2018,7584,Round of 16,1,30,31,Japan,0.09179325,False,True
WC2018,7584,Round of 16,1,35,35,Belgium,0.15255512,False,False
WC2018,7584,Round of 16,1,35,43,Belgium,0.02434906,False,False
WC2018,7584,Round of 16,1,43,49,Japan,0.0644201,False,False
WC2018,7584,Round of 16,2,47,19,Japan,0.07330411,True,True
WC2018,7584,Round of 16,2,48,48,Belgium,0.10597108,False,False
WC2018,7584,Round of 16,2,48,49,Belgium,0.09700912,False,False
WC2018,7584,Round of 16,2,51,34,Japan,0.024892166,True,True
WC2018,7584,Round of 16,2,56,5,Belgium,0.03521874,False,False
WC2018,7584,Round of 16,2,58,40,Japan,0.05377961,False,False
WC2018,7584,Round of 16,2,61,44,Belgium,0.15798207,False,False
WC2018,7584,Round of 16,2,63,58,Japan,0.10102822,False,False
WC2018,7584,Round of 16,2,65,6,Belgium,0.03213666,False,False
WC2018,7584,Round of 16,2,67,59,Belgium,0.1751244,False,False
WC2018,7584,Round of 16,2,68,53,Belgium,0.011378314,True,True
WC2018,7584,Round of 16,2,72,17,Belgium,0.062116995,False,False
WC2018,7584,Round of 16,2,73,23,Belgium,0.1826466,True,True
WC2018,7584,Round of 16,2,74,52,Japan,0.09275014,False,False
WC2018,7584,Round of 16,2,74,55,Japan,0.012124663,False,False
WC2018,7584,Round of 16,2,77,51,Belgium,0.11867756,False,False
WC2018,7584,Round of 16,2,79,40,Belgium,0.0088148285,False,False
WC2018,7584,Round of 16,2,83,8,Japan,0.12930113,False,False
WC2018,7584,Round of 16,2,85,2,Belgium,0.12926859,False,True
WC2018,7584,Round of 16,2,85,7,Belgium,0.20452708,False,True
WC2018,7584,Round of 16,2,85,34,Belgium,0.006299751,False,False
WC2018,7584,Round of 16,2,86,36,Belgium,0.02341678,False,True
WC2018,7584,Round of 16,2,92,59,Japan,0.006078651,False,True
WC2018,7584,Round of 16,2,93,44,Belgium,0.25971222,True,True
WC2018,7554,Group Stage,1,3,46,Panama,0.0063411808,False,False
WC2018,7554,Group Stage,1,4,17,Panama,0.10595282,False,False
WC2018,7554,Group Stage,1,7,48,England,0.1349147,True,True
WC2018,7554,Group Stage,1,15,12,Panama,0.034921248,False,False
WC2018,7554,Group Stage,1,21,35,England,0.7835,True,True
WC2018,7554,Group Stage,1,35,9,England,0.056802925,True,True
WC2018,7554,Group Stage,1,39,13,England,0.43374035,False,True
WC2018,7554,Group Stage,1,39,14,England,0.5670492,True,True
WC2018,7554,Group Stage,1,41,55,England,0.090631545,False,False
WC2018,7554,Group Stage,1,45,16,England,0.7835,True,True
WC2018,7554,Group Stage,2,61,5,England,0.03459167,False,False
WC2018,7554,Group Stage,2,61,5,England,0.20022032,True,True
WC2018,7554,Group Stage,2,65,25,Panama,0.13047156,False,True
WC2018,7554,Group Stage,2,72,32,England,0.061970674,False,False
WC2018,7554,Group Stage,2,75,31,Panama,0.55906206,False,False
WC2018,7554,Group Stage,2,77,16,Panama,0.17428838,True,True
WC2018,7554,Group Stage,2,81,16,England,0.021399647,False,False
WC2018,7554,Group Stage,2,93,47,Panama,0.059005667,False,False
WC2018,7554,Group Stage,2,94,2,Panama,0.009995836,False,False
WC2018,7539,Group Stage,1,12,35,Senegal,0.009712145,False,False
WC2018,7539,Group Stage,1,19,10,Poland,0.029653154,False,False
WC2018,7539,Group Stage,1,19,11,Poland,0.24497952,False,False
WC2018,7539,Group Stage,1,22,42,Poland,0.055568192,False,False
WC2018,7539,Group Stage,1,36,55,Senegal,0.039492566,False,False
WC2018,7539,Group Stage,1,41,37,Senegal,0.14218889,False,False
WC2018,7539,Group Stage,1,46,7,Senegal,0.015028189,False,False
WC2018,7539,Group Stage,2,50,0,Poland,0.07070428,False,True
WC2018,7539,Group Stage,2,51,17,Senegal,0.13267757,False,False
WC2018,7539,Group Stage,2,53,16,Senegal,0.097462624,False,False
WC2018,7539,Group Stage,2,55,30,Poland,0.04273148,False,False
WC2018,7539,Group Stage,2,59,58,Senegal,0.99118865,True,True
WC2018,7539,Group Stage,2,66,18,Poland,0.035614714,False,False
WC2018,7539,Group Stage,2,69,36,Poland,0.12166226,False,False
WC2018,7539,Group Stage,2,78,23,Poland,0.05977887,False,True
WC2018,7539,Group Stage,2,85,41,Poland,0.36511415,True,True
WC2018,7539,Group Stage,2,91,14,Poland,0.016516764,False,False
WC2018,7550,Group Stage,1,3,18,Switzerland,0.0065200645,False,False
WC2018,7550,Group Stage,1,4,14,Serbia,0.24064535,False,True
WC2018,7550,Group Stage,1,4,19,Serbia,0.08914139,False,False
WC2018,7550,Group Stage,1,4,48,Serbia,0.2980266,True,True
WC2018,7550,Group Stage,1,8,7,Switzerland,0.007398513,False,False
WC2018,7550,Group Stage,1,9,51,Switzerland,0.15404725,False,False
WC2018,7550,Group Stage,1,13,13,Serbia,0.06612923,False,False
WC2018,7550,Group Stage,1,15,17,Serbia,0.035976026,False,False
WC2018,7550,Group Stage,1,18,31,Serbia,0.0383034,False,False
WC2018,7550,Group Stage,1,22,26,Switzerland,0.041592665,False,False
WC2018,7550,Group Stage,1,22,30,Switzerland,0.025827019,False,False
WC2018,7550,Group Stage,1,25,23,Switzerland,0.090298526,False,False
WC2018,7550,Group Stage,1,29,34,Switzerland,0.24026676,False,True
WC2018,7550,Group Stage,1,30,7,Switzerland,0.0712261,False,False
WC2018,7550,Group Stage,1,36,33,Serbia,0.03371678,False,True
WC2018,7550,Group Stage,1,41,58,Serbia,0.063381545,False,False
WC2018,7550,Group Stage,1,43,4,Serbia,0.07350789,False,False
WC2018,7550,Group Stage,1,45,42,Serbia,0.05983005,False,False
WC2018,7550,Group Stage,2,49,24,Switzerland,0.00962483,False,False
WC2018,7550,Group Stage,2,51,28,Serbia,0.10194914,False,False
WC2018,7550,Group Stage,2,51,51,Switzerland,0.057581827,False,False
WC2018,7550,Group Stage,2,51,55,Switzerland,0.009642546,True,True
WC2018,7550,Group Stage,2,57,33,Switzerland,0.010486914,False,False
WC2018,7550,Group Stage,2,76,25,Serbia,0.052877877,False,False
WC2018,7550,Group Stage,2,81,32,Switzerland,0.027681582,False,True
WC2018,7550,Group Stage,2,82,39,Switzerland,0.018171605,False,False
WC2018,7550,Group Stage,2,83,18,Switzerland,0.22874036,False,True
WC2018,7550,Group Stage,2,85,14,Switzerland,0.05241076,False,False
WC2018,7550,Group Stage,2,85,41,Switzerland,0.08491014,False,False
WC2018,7550,Group Stage,2,89,37,Switzerland,0.36896914,True,True
WC2018,7550,Group Stage,2,95,29,Switzerland,0.051912088,False,False
WC2018,7538,Group Stage,1,12,58,Sweden,0.0075467415,False,False
WC2018,7538,Group Stage,1,19,59,Sweden,0.48333976,False,True
WC2018,7538,Group Stage,1,20,48,Sweden,0.08360676,False,False
WC2018,7538,Group Stage,1,28,11,Sweden,0.08389724,False,False
WC2018,7538,Group Stage,1,28,12,Sweden,0.09769604,False,False
WC2018,7538,Group Stage,1,36,42,South Korea,0.041962028,False,False
WC2018,7538,Group Stage,1,38,59,Sweden,0.0065049785,False,False
WC2018,7538,Group Stage,1,42,0,Sweden,0.022509541,False,False
WC2018,7538,Group Stage,1,43,44,Sweden,0.019979231,False,False
WC2018,7538,Group Stage,1,43,46,Sweden,0.082305975,False,True
WC2018,7538,Group Stage,1,46,12,Sweden,0.06819925,False,False
WC2018,7538,Group Stage,2,48,26,Sweden,0.058042593,False,False
WC2018,7538,Group Stage,2,51,33,South Korea,0.11802932,False,False
WC2018,7538,Group Stage,2,55,44,Sweden,0.10468406,False,True
WC2018,7538,Group Stage,2,56,23,South Korea,0.026066551,False,False
WC2018,7538,Group Stage,2,64,37,Sweden,0.7835,True,True
WC2018,7538,Group Stage,2,68,22,Sweden,0.006241017,False,False
WC2018,7538,Group Stage,2,68,27,Sweden,0.057121377,False,False
WC2018,7538,Group Stage,2,70,18,Sweden,0.049949892,False,False
WC2018,7538,Group Stage,2,81,31,South Korea,0.028747292,False,False
WC2018,7538,Group Stage,2,90,57,South Korea,0.19956683,False,False
WC2018,7534,Group Stage,1,0,57,Mexico,0.11827388,False,False
WC2018,7534,Group Stage,1,2,40,Germany,0.049711905,False,False
WC2018,7534,Group Stage,1,6,31,Germany,0.07167251,False,True
WC2018,7534,Group Stage,1,8,29,Mexico,0.08506853,False,False
WC2018,7534,Group Stage,1,9,56,Mexico,0.028636595,False,True
WC2018,7534,Group Stage,1,13,53,Mexico,0.09705013,False,True
WC2018,7534,Group Stage,1,15,28,Germany,0.020290153,False,True
WC2018,7534,Group Stage,1,15,53,Germany,0.0056767375,False,False
WC2018,7534,Group Stage,1,19,29,Germany,0.12941124,False,True
WC2018,7534,Group Stage,1,21,52,Germany,0.028065955,False,True
WC2018,7534,Group Stage,1,22,33,Mexico,0.043891508,False,False
WC2018,7534,Group Stage,1,26,1,Mexico,0.041151885,False,False
WC2018,7534,Group Stage,1,28,33,Mexico,0.043912183,False,True
WC2018,7534,Group Stage,1,34,32,Mexico,0.19460402,True,True
WC2018,7534,Group Stage,1,36,42,Germany,0.06585366,False,False
WC2018,7534,Group Stage,1,38,2,Germany,0.06350054,False,True
WC2018,7534,Group Stage,1,44,46,Mexico,0.13477883,False,False
WC2018,7534,Group Stage,2,47,31,Germany,0.02910846,False,True
WC2018,7534,Group Stage,2,52,17,Germany,0.028271182,False,False
WC2018,7534,Group Stage,2,54,23,Germany,0.048906885,False,False
WC2018,7534,Group Stage,2,54,49,Germany,0.07452877,False,False
WC2018,7534,Group Stage,2,56,38,Mexico,0.074448265,False,False
WC2018,7534,Group Stage,2,60,57,Germany,0.04040635,False,False
WC2018,7534,Group Stage,2,64,4,Germany,0.114304304,False,False
WC2018,7534,Group Stage,2,66,43,Germany,0.041622043,False,False
WC2018,7534,Group Stage,2,67,3,Germany,0.3045737,False,False
WC2018,7534,Group Stage,2,70,55,Germany,0.009542241,False,False
WC2018,7534,Group Stage,2,75,22,Germany,0.04795046,False,False
WC2018,7534,Group Stage,2,76,26,Germany,0.10941726,False,False
WC2018,7534,Group Stage,2,77,5,Mexico,0.073443435,False,False
WC2018,7534,Group Stage,2,78,22,Germany,0.034154605,False,False
WC2018,7534,Group Stage,2,81,9,Mexico,0.058029506,False,False
WC2018,7534,Group Stage,2,83,35,Germany,0.050513986,False,True
WC2018,7534,Group Stage,2,85,10,Germany,0.090416625,False,False
WC2018,7534,Group Stage,2,86,56,Germany,0.24410489,False,False
WC2018,7534,Group Stage,2,88,32,Germany,0.55386275,False,True
WC2018,7534,Group Stage,2,88,38,Germany,0.035709005,False,False
WC2018,7534,Group Stage,2,89,46,Germany,0.0076826327,False,True
WC2018,7543,Group Stage,1,3,32,Spain,0.0062442855,False,False
WC2018,7543,Group Stage,1,5,57,Iran,0.017048458,False,False
WC2018,7543,Group Stage,1,9,26,Spain,0.101224825,False,False
WC2018,7543,Group Stage,1,13,57,Iran,0.030081216,False,False
WC2018,7543,Group Stage,1,18,10,Spain,0.036545493,False,False
WC2018,7543,Group Stage,1,21,55,Spain,0.02891147,False,False
WC2018,7543,Group Stage,1,24,22,Spain,0.056378577,False,True
WC2018,7543,Group Stage,1,29,30,Spain,0.18056935,False,False
WC2018,7543,Group Stage,1,30,35,Spain,0.008805185,False,False
WC2018,7543,Group Stage,1,41,7,Spain,0.14056613,False,False
WC2018,7543,Group Stage,1,44,14,Spain,0.029175429,False,False
WC2018,7543,Group Stage,1,46,12,Spain,0.077532336,False,False
WC2018,7543,Group Stage,2,48,41,Spain,0.23135321,False,False
