tournament,match_id,date,stage,team,opponent,period,minute,second,player_out,player_in,sub_reason,sub_number_for_team,score_for,score_against,score_state
WC2018,8650,2018-07-06,Quarter-finals,Brazil,Belgium,2,45,0,Willian Borges da Silva,Roberto Firmino Barbosa de Oliveira,Tactical,1,0,2,trailing
WC2018,8650,2018-07-06,Quarter-finals,Brazil,Belgium,2,57,12,Gabriel Fernando de Jesus,Douglas Costa de Souza,Tactical,2,0,2,trailing
WC2018,8650,2018-07-06,Quarter-finals,Brazil,Belgium,2,72,4,José Paulo Bezzera Maciel Júnior,Renato Soares de Oliveira Augusto,Tactical,3,0,2,trailing
WC2018,8650,2018-07-06,Quarter-finals,Belgium,Brazil,2,82,7,Nacer Chadli,Thomas Vermaelen,Tactical,1,2,1,leading
WC2018,8650,2018-07-06,Quarter-finals,Belgium,Brazil,2,86,31,Romelu Lukaku Menama,Youri Tielemans,Tactical,2,2,1,leading
WC2018,7584,2018-07-02,Round of 16,Belgium,Japan,2,64,15,Dries Mertens,Marouane Fellaini-Bakkioui,Tactical,1,0,2,trailing
WC2018,7584,2018-07-02,Round of 16,Belgium,Japan,2,64,26,Yannick Ferreira Carrasco,Nacer Chadli,Tactical,2,0,2,trailing
WC2018,7584,2018-07-02,Round of 16,Japan,Belgium,2,80,29,Gaku Shibasaki,Hotaru Yamaguchi,Tactical,1,2,2,level
WC2018,7584,2018-07-02,Round of 16,Japan,Belgium,2,80,37,Genki Haraguchi,Keisuke Honda,Tactical,2,2,2,level
WC2018,7554,2018-06-24,Group Stage,Panama,England,2,61,46,Aníbal Cesis Godoy,Ricardo Guardia Avila,Tactical,1,0,6,trailing
WC2018,7554,2018-06-24,Group Stage,England,Panama,2,62,31,Harry Kane,Jamie Vardy,Tactical,1,6,0,leading
WC2018,7554,2018-06-24,Group Stage,England,Panama,2,62,55,Jesse Lingard,Fabian Delph,Tactical,2,6,0,leading
WC2018,7554,2018-06-24,Group Stage,Panama,England,2,68,32,Edgar Yoel Bárcenas Herrera,Abdiel Arroyo Molinar,Tactical,2,0,6,trailing
WC2018,7554,2018-06-24,Group Stage,Panama,England,2,68,33,Gabriel Enrique Gómez Girón,Felipe Abdiel Baloy Ramírez,Tactical,3,0,6,trailing
WC2018,7554,2018-06-24,Group Stage,England,Panama,2,69,22,Kieran Trippier,Danny Rose,Tactical,3,6,0,leading
WC2018,7539,2018-06-19,Group Stage,Poland,Senegal,2,45,0,Jakub Błaszczykowski,Jan Bednarek,Tactical,1,0,1,trailing
WC2018,7539,2018-06-19,Group Stage,Senegal,Poland,2,61,25,Mame Biram Diouf,Cheikh N'Doye,Tactical,1,2,0,leading
WC2018,7539,2018-06-19,Group Stage,Poland,Senegal,2,72,51,Arkadiusz Milik,Dawid Kownacki,Tactical,2,0,2,trailing
WC2018,7539,2018-06-19,Group Stage,Senegal,Poland,2,74,23,M'Baye Babacar Niang,Pape Moussa Konaté,Tactical,2,2,0,leading
WC2018,7539,2018-06-19,Group Stage,Poland,Senegal,2,82,15,Łukasz Piszczek,Bartosz Bereszyński,Tactical,3,0,2,trailing
WC2018,7539,2018-06-19,Group Stage,Senegal,Poland,2,86,22,Alfred John Momar N'Diaye,Cheikhou Kouyaté,Tactical,3,2,1,leading
WC2018,7550,2018-06-22,Group Stage,Switzerland,Serbia,2,45,0,Haris Seferović,Mario Gavranović,Tactical,1,0,1,trailing
WC2018,7550,2018-06-22,Group Stage,Serbia,Switzerland,2,63,56,Filip Kostić,Adem Ljajić,Tactical,1,1,1,level
WC2018,7550,2018-06-22,Group Stage,Switzerland,Serbia,2,72,12,Blerim Džemaili,Breel-Donald Embolo,Tactical,2,1,1,level
WC2018,7550,2018-06-22,Group Stage,Serbia,Switzerland,2,80,6,Luka Milivojević,Nemanja Radonjić,Tactical,2,1,1,level
WC2018,7550,2018-06-22,Group Stage,Switzerland,Serbia,2,92,39,Steven Zuber,Josip Drmic,Tactical,3,2,1,leading
WC2018,7538,2018-06-18,Group Stage,South Korea,Sweden,1,27,48,Joo-Ho Park,Min-Woo Kim,Injury,1,0,0,level
WC2018,7538,2018-06-18,Group Stage,South Korea,Sweden,2,66,2,Shin-Wook Kim,Woo-Young Jung,Tactical,2,0,1,trailing
WC2018,7538,2018-06-18,Group Stage,Sweden,South Korea,2,70,47,Albin Ekdal,Oscar Hiljemark,Tactical,1,1,0,leading
WC2018,7538,2018-06-18,Group Stage,South Korea,Sweden,2,72,3,Ja-Cheol Koo,Seung-Woo Lee,Tactical,3,0,1,trailing
WC2018,7538,2018-06-18,Group Stage,Sweden,South Korea,2,76,7,Ola Toivonen,Isaac Kiese Thelin,Tactical,2,1,0,leading
WC2018,7538,2018-06-18,Group Stage,Sweden,South Korea,2,80,19,Sebastian Larsson,Gustav Svensson,Injury,3,1,0,leading
WC2018,7534,2018-06-17,Group Stage,Mexico,Germany,2,57,40,Carlos Alberto Vela Garrido,Edson Omar Álvarez Velázquez,,1,1,0,leading
WC2018,7534,2018-06-17,Group Stage,Germany,Mexico,2,59,49,Sami Khedira,Marco Reus,Tactical,1,0,1,trailing
WC2018,7534,2018-06-17,Group Stage,Mexico,Germany,2,65,50,Hirving Rodrigo Lozano Bahena,Raúl Alonso Jiménez Rodríguez,Tactical,2,1,0,leading
WC2018,7534,2018-06-17,Group Stage,Mexico,Germany,2,72,39,José Andrés Guardado Hernández,Rafael Márquez Álvarez,Tactical,3,1,0,leading
WC2018,7534,2018-06-17,Group Stage,Germany,Mexico,2,78,49,Marvin Plattenhardt,Mario Gómez García,Tactical,2,0,1,trailing
WC2018,7534,2018-06-17,Group Stage,Germany,Mexico,2,85,44,Timo Werner,Julian Brandt,Tactical,3,0,1,trailing
WC2018,7543,2018-06-20,Group Stage,Iran,Spain,2,68,38,Ehsan Hajsafi,Milad Mohammadi,Tactical,1,0,1,trailing
WC2018,7543,2018-06-20,Group Stage,Spain,Iran,2,70,5,Andrés Iniesta Luján,Jorge Resurrección Merodio,Tactical,1,1,0,leading
WC2018,7543,2018-06-20,Group Stage,Iran,Spain,2,73,51,Karim Ansarifard,Alireza Jahanbakhsh,Tactical,2,0,1,trailing
WC2018,7543,2018-06-20,Group Stage,Spain,Iran,2,78,39,Lucas Vázquez Iglesias,Marco Asensio Willemsen,Tactical,2,1,0,leading
WC2018,7543,2018-06-20,Group Stage,Iran,Spain,2,85,37,Vahid Amiri,Saman Ghoddos,Tactical,3,0,1,trailing
WC2018,7543,2018-06-20,Group Stage,Spain,Iran,2,87,54,Diego da Silva Costa,Rodrigo Moreno Machado,Tactical,3,1,0,leading
WC2018,7544,2018-06-20,Group Stage,Saudi Arabia,Uruguay,1,43,30,Taisir Jabir Al Jassim,Hussain Al Mogahwi,Injury,1,0,1,trailing
WC2018,7544,2018-06-20,Group Stage,Uruguay,Saudi Arabia,2,58,5,Cristian Gabriel Rodríguez Barrotti,Diego Sebastián Laxalt Suárez,Tactical,1,1,0,leading
WC2018,7544,2018-06-20,Group Stage,Uruguay,Saudi Arabia,2,58,38,Matías Vecino Falero,Lucas Torreira Di Pascua,Tactical,2,1,0,leading
WC2018,7544,2018-06-20,Group Stage,Saudi Arabia,Uruguay,2,74,46,Hattan Babhir,Mohammed Kanoo,Tactical,2,0,1,trailing
WC2018,7544,2018-06-20,Group Stage,Saudi Arabia,Uruguay,2,77,21,Fahad Mosaed Al Muwallad Al Harbi,Mohammad Ibrahim Al Sahlawi,Tactical,3,0,1,trailing
WC2018,7544,2018-06-20,Group Stage,Uruguay,Saudi Arabia,2,81,16,Carlos Andrés Sánchez Arcosa,Nahitan Michel Nández Acosta,Tactical,3,1,0,leading
WC2018,7546,2018-06-21,Group Stage,Peru,France,2,45,0,Alberto Junior Rodríguez Valdelomar,Anderson Santamaría Bardales,Tactical,1,0,1,trailing
WC2018,7546,2018-06-21,Group Stage,Peru,France,2,45,0,Víctor Yoshimar Yotún Flores,Jefferson Agustín Farfán Guadalupe,Tactical,2,0,1,trailing
WC2018,7546,2018-06-21,Group Stage,France,Peru,2,73,44,Kylian Mbappé Lottin,Ousmane Dembélé,Tactical,1,1,0,leading
