match_id,sofascore_id,date,kickoff_time_utc,stage_name,home,away,home_score,away_score,result_type,home_penalty_score,away_penalty_score,home_xg,away_xg,venue_id,stadium_name,city,country,latitude,longitude,elevation_meters,referee_id,in_treated,n_treated_breaks,kickoff_gap_hours
1,15186710.0,2026-06-11,19:00,Group Stage,Mexico,South Africa,2,0,Regular,,,1.84,0.52,1,Mexico City Stadium (Estadio Azteca),Mexico City,MEX,19.3031,-99.1506,2200,1,False,0,0.0
2,15186720.0,2026-06-11,23:00,Group Stage,South Korea,Czechia,2,1,Regular,,,1.45,1.12,7,Guadalajara Stadium (Estadio Akron),Zapopan,MEX,20.6811,-103.4628,1566,2,True,2,3.0
3,15186836.0,2026-06-12,19:00,Group Stage,Canada,Bosnia and Herzegovina,1,1,Regular,,,1.35,0.98,6,Toronto Stadium (BMO Field),Toronto,CAN,43.6328,-79.4186,76,3,True,2,0.0
4,15186873.0,2026-06-12,23:00,Group Stage,USA,Paraguay,4,1,Regular,,,2.76,0.88,3,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,33.9535,-118.339,30,4,True,2,2.0
5,15186526.0,2026-06-13,15:00,Group Stage,Qatar,Switzerland,1,1,Regular,,,0.78,1.54,10,Boston Stadium (Gillette Stadium),Foxborough,USA,42.0909,-71.2643,87,5,True,2,4.0
6,15186850.0,2026-06-13,18:00,Group Stage,Brazil,Morocco,1,1,Regular,,,1.62,1.1,2,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,40.8136,-74.0744,7,6,True,2,4.0
7,15186853.0,2026-06-13,21:00,Group Stage,Haiti,Scotland,0,1,Regular,,,1.25,0.65,14,Philadelphia Stadium (Lincoln Financial Field),Philadelphia,USA,39.9008,-75.1675,3,7,True,2,4.0
8,15186874.0,2026-06-13,23:59,Group Stage,Australia,Türkiye,2,0,Regular,,,1.48,0.72,16,Seattle Stadium (Lumen Field),Seattle,USA,47.5952,-122.3316,3,8,True,2,4.02
9,15186899.0,2026-06-14,15:00,Group Stage,Germany,Curaçao,7,1,Regular,,,4.82,0.44,9,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,33.7553,-84.4017,318,9,True,2,2.0
10,15186945.0,2026-06-14,18:00,Group Stage,Netherlands,Japan,2,2,Regular,,,1.95,1.82,15,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,37.4033,-121.9698,8,10,True,2,2.0
11,15186904.0,2026-06-14,21:00,Group Stage,Côte d'Ivoire,Ecuador,1,0,Regular,,,1.1,0.95,11,Houston Stadium (NRG Stadium),Houston,USA,29.6847,-95.4082,14,11,True,2,2.0
12,15186951.0,2026-06-14,23:59,Group Stage,Sweden,Tunisia,5,1,Regular,,,3.12,0.78,12,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,39.0489,-94.4839,264,12,True,2,2.02
13,15186783.0,2026-06-15,15:00,Group Stage,Spain,Cabo Verde,0,0,Regular,,,2.15,0.35,13,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,25.9581,-80.2389,2,13,True,2,1.0
14,15186837.0,2026-06-15,18:00,Group Stage,Belgium,Egypt,1,1,Regular,,,1.58,1.12,4,Dallas Stadium (AT&T Stadium),Arlington,USA,32.7473,-97.0928,184,14,True,2,1.0
15,15186811.0,2026-06-15,21:00,Group Stage,Saudi Arabia,Uruguay,1,1,Regular,,,0.85,1.76,8,Monterrey Stadium (Estadio BBVA),Guadalupe,MEX,25.669,-100.2444,538,15,True,2,1.0
16,15186832.0,2026-06-15,23:59,Group Stage,IR Iran,New Zealand,2,2,Regular,,,1.88,1.2,5,Vancouver Stadium (BC Place),Vancouver,CAN,49.2768,-123.112,9,16,True,2,1.02
17,15186501.0,2026-06-16,15:00,Group Stage,France,Senegal,3,1,Regular,,,2.44,1.05,2,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,40.8136,-74.0744,7,1,True,2,4.0
18,15186773.0,2026-06-16,18:00,Group Stage,Iraq,Norway,1,4,Regular,,,0.68,2.85,10,Boston Stadium (Gillette Stadium),Foxborough,USA,42.0909,-71.2643,87,2,True,2,4.0
19,15186854.0,2026-06-16,21:00,Group Stage,Argentina,Algeria,3,0,Regular,,,2.65,0.42,3,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,33.9535,-118.339,30,3,True,2,4.0
20,15186751.0,2026-06-16,23:59,Group Stage,Austria,Jordan,3,1,Regular,,,1.98,0.88,15,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,37.4033,-121.9698,8,4,True,2,4.02
21,15186709.0,2026-06-17,15:00,Group Stage,Portugal,Congo DR,1,1,Regular,,,1.78,1.15,9,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,33.7553,-84.4017,318,5,True,2,2.0
22,15186504.0,2026-06-17,18:00,Group Stage,England,Croatia,4,2,Regular,,,2.92,1.64,13,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,25.9581,-80.2389,2,6,True,2,2.0
23,15186687.0,2026-06-17,21:00,Group Stage,Ghana,Panama,1,0,Regular,,,1.3,0.75,11,Houston Stadium (NRG Stadium),Houston,USA,29.6847,-95.4082,14,7,True,2,2.0
24,15186722.0,2026-06-17,23:59,Group Stage,Uzbekistan,Colombia,1,3,Regular,,,0.95,2.1,16,Seattle Stadium (Lumen Field),Seattle,USA,47.5952,-122.3316,3,8,True,2,2.02
25,15186490.0,2026-06-18,15:00,Group Stage,Mexico,South Korea,1,0,Regular,,,1.62,0.58,9,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,33.7553,-84.4017,318,9,True,2,10.0
26,15186731.0,2026-06-18,18:00,Group Stage,Czechia,South Africa,1,1,Regular,,,1.35,1.15,3,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,33.9535,-118.339,30,10,True,2,2.0
27,15186798.0,2026-06-18,21:00,Group Stage,Canada,Qatar,6,0,Regular,,,3.82,0.22,5,Vancouver Stadium (BC Place),Vancouver,CAN,49.2768,-123.112,9,11,True,2,1.0
28,15186806.0,2026-06-18,23:59,Group Stage,Switzerland,Bosnia and Herzegovina,4,1,Regular,,,2.45,0.88,1,Mexico City Stadium (Estadio Azteca),Mexico City,MEX,19.3031,-99.1506,2200,12,True,2,4.98
29,15186856.0,2026-06-19,15:00,Group Stage,Brazil,Haiti,3,0,Regular,,,1.16,0.9,2,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,40.8136,-74.0744,7,13,True,2,9.5
30,15186859.0,2026-06-19,18:00,Group Stage,Scotland,Morocco,0,1,Regular,,,0.97,0.54,4,Dallas Stadium (AT&T Stadium),Arlington,USA,32.7473,-97.0928,184,14,True,2,4.0
