match_id,n_shots,goals_pdf,goals_expected,own_goals_inferred,goals_match,xg_home_pdf,xg_home_meta,subs_on,subs_off,subs_balanced,n_physical_rows,sub_flags
1,19,2,2,0,True,1.78,1.84,8,9,False,29,"Mexico Cesar MONTES: unexplained markers [92] (mins=90, starting); South Africa Sphephelo SITHOLE: unexplained markers [49] (mins=90, starting); South Africa Themba ZWANE: unexplained markers [81, 62] (mins=29, substitutes); Mexico Edson Omar Alvarez: sub implied by lineup minutes (14) but no PDF row parsed"
2,22,3,3,0,True,1.77,1.45,9,10,False,30,South Korea SON Heungmin: no lineup match for markers [69]; South Korea LEE Jaesung: no lineup match for markers [62]; South Korea HWANG Heechan: no lineup match for markers [62]; South Korea Heung Min Son: sub implied by lineup minutes (69) but no PDF row parsed; South Korea Jae Sung Lee: sub implied by lineup minutes (62) but no PDF row parsed; South Korea Hee Chan Hwang: sub implied by lineup minutes (28) but no PDF row parsed
3,21,2,2,0,True,1.49,1.35,10,10,True,30,"Canada Stephen EUSTAQUIO: unexplained markers [1] (mins=90, starting); Canada Tani OLUWASEYI: no lineup match for markers [76]; Canada Jonathan OSORIO: markers [1] far from expected 89; Canada Tanitoluwa Oluwatimilehin Oluwaseyi: sub implied by lineup minutes (76) but no PDF row parsed"
4,25,4,5,1,True,1.88,2.76,9,10,False,28,USA Giovanni Alejandro Reyna: sub implied by lineup minutes (8) but no PDF row parsed
5,31,1,2,1,True,0.52,0.78,10,10,True,29,Switzerland Miro MUHEIM: markers [5] far from expected 89
6,26,2,2,0,True,0.99,1.62,10,10,True,29,"Brazil CASEMIRO: no lineup match for markers [37, 45]; Brazil VINICIUS JUNIOR: no lineup match for markers [32]; Brazil BRUNO GUIMARAES: no lineup match for markers [80]; Brazil ROGER IBANEZ: no lineup match for markers [43, 45]; Brazil DANILO: no lineup match for markers [45]; Brazil LUIZ HENRIQUE: no lineup match for markers [62]; Morocco Azzedine OUNAHI: no lineup match for markers [65]; Brazil Henrique: sub implied by lineup minutes (46) but no PDF row parsed; Brazil GUIMARAESBruno Bruno: sub implied by lineup minutes (80) but no PDF row parsed; Brazil Luiz Danilo: sub implied by lineup minutes (44) but no PDF row parsed; Brazil Henrique André Luiz: sub implied by lineup minutes (29) but no PDF row parsed; Brazil IBANEZRoger Roger: sub implied by lineup minutes (46) but no PDF row parsed; Morocco Azz-Eddine Ounahi: sub implied by lineup minutes (64) but no PDF row parsed"
7,24,1,1,0,True,0.7,1.25,7,7,True,28,"Haiti Louicius DEEDSON: no lineup match for markers [61]; Scotland John McGINN: no lineup match for markers [83, 28]; Scotland Ben GANNON DOAK: no lineup match for markers [75]; Scotland Kenny McLEAN: no lineup match for markers [95, 83]; Haiti Don Deedson Deedson: sub implied by lineup minutes (61) but no PDF row parsed; Scotland Ben Gannon Gannon-Doak: sub implied by lineup minutes (75) but no PDF row parsed"
8,39,2,2,0,True,0.99,1.48,10,10,True,31,"Australia Paul OKON ENGSTLER: no lineup match for markers [84]; Türkiye Ismail YUKSEK: no lineup match for markers [81]; Türkiye Baris Alper YILMAZ: no lineup match for markers [45]; Türkiye Mert MULDUR: unexplained markers [81] (mins=0, substitutes); Australia Jason Kato Geria: sub implied by lineup minutes (16) but no PDF row parsed; Australia Paul Michael Junior Okon-Engstler: sub implied by lineup minutes (83) but no PDF row parsed; Türkiye Mehmet Zeki Celik: sub implied by lineup minutes (80) but no PDF row parsed; Türkiye Ismailİsma Yuksek: sub implied by lineup minutes (80) but no PDF row parsed; Türkiye Barı ş Alper Yilmaz: sub implied by lineup minutes (46) but no PDF row parsed"
9,34,8,8,0,True,4.17,4.82,8,8,True,28,"Germany Kai HAVERTZ: unexplained markers [5] (mins=90, starting); Curaçao Juergen LOCADIA: no lineup match for markers [65]; Curaçao Sontje HANSEN: no lineup match for markers [45]; Germany Waldemar Anton: sub implied by lineup minutes (7) but no PDF row parsed; Curaçao Jürgen Leonardo Locadia: sub implied by lineup minutes (65) but no PDF row parsed; Curaçao Juniffer Naigelino Hansen: sub implied by lineup minutes (46) but no PDF row parsed"
10,19,3,4,1,True,0.63,1.95,10,10,True,29,
