team,jersey,player,total_distance_m,zone1_m,zone2_m,zone3_m,zone4_m,zone5_m,high_speed_runs,sprints,top_speed_kmh,match_id
Mexico,1,Raul RANGEL,5476.4,4175.3,1076.4,200.9,23.7,18.0,3.0,23.2,3.0,1
Mexico,5,Johan VASQUEZ,10046.9,4107.2,4232.8,1151.6,455.2,100.2,102.0,33.0,27.9,1
Mexico,6,Erik LIRA,8877.0,2999.1,4287.6,1145.6,363.4,81.3,103.0,27.0,31.4,1
Mexico,8,Alvaro FIDALGO,8582.8,2509.2,3740.9,1623.2,566.1,143.4,132.0,49.0,30.8,1
Mexico,9,Raul JIMENEZ,7503.0,3337.6,2730.4,928.1,390.0,116.9,67.0,33.0,33.3,1
Mexico,15,Israel REYES,10267.2,4054.7,4245.7,1379.4,409.9,177.4,117.0,27.0,30.0,1
Mexico,16,Julian QUINONES,8832.2,3156.1,3649.3,1324.0,534.8,167.9,115.0,42.0,32.9,1
Mexico,23,Jesus GALLARDO,9692.5,4195.5,3932.4,1022.4,357.1,185.2,86.0,29.0,30.3,1
Mexico,25,Roberto ALVARADO,10031.1,3763.0,4293.6,1293.0,499.8,181.7,116.0,43.0,32.2,1
Mexico,26,Brian GUTIERREZ,7486.6,2912.8,2832.4,1110.0,434.6,196.7,106.0,39.0,31.7,1
Mexico,4,Edson ALVAREZ,2007.7,744.8,707.0,307.4,143.9,104.6,28.0,15.0,31.5,1
Mexico,10,Alexis VEGA,1915.4,633.5,740.5,388.6,104.0,48.9,28.0,10.0,28.0,1
Mexico,14,Armando GONZALEZ,2086.0,748.9,748.0,323.7,186.9,78.4,25.0,14.0,32.0,1
Mexico,19,Gilberto MORA,3082.9,1161.6,1053.3,570.0,251.5,46.6,43.0,17.0,27.1,1
Mexico,24,Luis CHAVEZ,2876.7,1042.9,1078.7,459.2,249.1,46.8,42.0,16.0,27.1,1
South Africa,1,Ronwen WILLIAMS,5010.4,3978.6,903.5,110.9,17.4,12.0,1.0,23.6,4.0,1
South Africa,6,Aubrey MODIBA,8037.8,3061.5,3308.1,1162.3,459.6,46.2,98.0,39.0,27.8,1
South Africa,9,Lyle FOSTER,5968.5,2748.0,2225.6,643.4,263.1,88.4,66.0,16.0,31.2,1
South Africa,13,Sphephelo SITHOLE,5830.2,2127.2,2391.0,916.7,299.2,96.2,90.0,25.0,31.2,1
South Africa,14,Mbekezeli MBOKAZI,8871.7,3834.8,3463.0,957.8,445.5,170.6,91.0,43.0,31.5,1
South Africa,15,Iqraam RAYNERS,8151.6,3502.6,2814.2,1010.7,413.7,410.4,82.0,41.0,34.1,1
South Africa,19,Nkosinathi SIBISI,9387.6,3780.7,3935.8,1141.2,389.6,140.3,101.0,38.0,29.9,1
South Africa,20,Khuliso MUDAU,9336.7,3664.0,3701.2,1125.4,538.6,307.4,100.0,48.0,33.3,1
South Africa,21,Ime OKON,9557.8,3716.3,3707.3,1411.8,588.3,134.1,119.0,52.0,31.6,1
South Africa,23,Jayden ADAMS,6842.3,2717.9,2842.2,900.1,322.1,59.9,78.0,27.0,27.8,1
South Africa,5,Thalente MBATHA,3973.8,1384.2,1565.8,635.7,331.5,56.5,59.0,24.0,34.4,1
