team,seq,minute,player,outcome,body_part,delivery_type,is_goal,period,match_id
Mexico,0,3,Brian GUTIERREZ,Incomplete - Blocked,Right Foot,Freekick,False,1,1
Mexico,1,4,Raul JIMENEZ,On Target - Saved,Left Foot,Cross,False,1,1
Mexico,2,8,Julian QUINONES,On Target - Goal,Right Foot,Loose Ball,True,1,1
Mexico,3,12,Raul JIMENEZ,Off Target - Saved,Head,Corner,False,1,1
Mexico,4,19,Julian QUINONES,Off Target,Right Foot,Pass,False,1,1
Mexico,5,29,Brian GUTIERREZ,Incomplete - Blocked,Right Foot,Pass,False,1,1
Mexico,6,41,Julian QUINONES,Deflected Off Target - Defensive Event,Right Foot,Other,False,1,1
Mexico,7,41,Julian QUINONES,Off Target,Right Foot,Pass,False,1,1
Mexico,8,46,Jesus GALLARDO,Deflected Off Target - Defensive Event,Left Foot,Pass,False,1,1
Mexico,9,48,Brian GUTIERREZ,Off Target,Right Foot,Pass,False,1,1
Mexico,10,45,Brian GUTIERREZ,Off Target,Right Foot,Loose Ball,False,2,1
Mexico,11,47,Julian QUINONES,On Target - Saved,Right Foot,Ball Progression,False,2,1
Mexico,12,51,Raul JIMENEZ,Incomplete - Blocked,Right Foot,Freekick,False,2,1
Mexico,13,51,Jesus GALLARDO,Off Target,Left Foot,Pass,False,2,1
Mexico,14,57,Israel REYES,Incomplete - Player On Ball Error,Head,Freekick,False,2,1
Mexico,15,66,Raul JIMENEZ,On Target - Goal,Head,Cross,True,2,1
South Africa,0,37,Lyle FOSTER,Off Target,Head,Pass,False,1,1
South Africa,1,44,Mbekezeli MBOKAZI,On Target - Saved,Left Foot,Loose Ball,False,1,1
South Africa,2,55,Aubrey MODIBA,On Target - Saved,Left Foot,Pass,False,1,1
South Korea,0,11,SON Heungmin,Deflected Off Target - Defensive Event,Left Foot,Pass,False,1,2
South Korea,1,11,LEE Hanbeom,Off Target,Head,Cross,False,1,2
South Korea,2,13,LEE Kangin,On Target - Saved,Left Foot,Pass,False,1,2
South Korea,3,13,SON Heungmin,Incomplete - Blocked,Right Foot,Cross,False,1,2
South Korea,4,37,SON Heungmin,Off Target,Right Foot,Pass,False,1,2
South Korea,5,38,SON Heungmin,Off Target,Left Foot,Pass,False,1,2
South Korea,6,46,SON Heungmin,Incomplete - Defensive Event,Right Foot,Cross,False,1,2
South Korea,7,47,HWANG Inbeom,Off Target,Right Foot,Pass,False,1,2
South Korea,8,48,HWANG Inbeom,On Target - Saved,Right Foot,Pass,False,1,2
South Korea,9,48,LEE Jaesung,On Target - Saved,Left Foot,Other,False,1,2
South Korea,10,55,SON Heungmin,On Target - Saved,Left Foot,Pass,False,1,2
South Korea,11,60,LEE Jaesung,Off Target - Saved,Head,Cross,False,1,2
South Korea,12,66,HWANG Inbeom,On Target - Goal,Right Foot,Pass,True,1,2
South Korea,13,79,OH Hyeongyu,On Target - Goal,Left Foot,Cross,True,1,2
South Korea,14,93,KIM Jingyu,Incomplete - Blocked,Left Foot,Pass,False,1,2
Czechia,0,21,Tomas SOUCEK,Off Target,Left Foot,Corner,False,1,2
Czechia,1,31,Pavel SULC,Off Target,Right Foot,Loose Ball,False,1,2
Czechia,2,58,Ladislav KREJCI,On Target - Goal,Head,Other,True,1,2
Czechia,3,81,Adam HLOZEK,On Target - Saved,Left Foot,Loose Ball,False,1,2
Czechia,4,87,Michal SADILEK,On Target - Saved,Head,Interception,False,1,2
Czechia,5,92,Michal SADILEK,On Target - Saved,Right Foot,Pass,False,1,2
