match_id,sofascore_id,meta_fifa,match_level_xg_fifa,venue_geo,lineups_fifa,team_stats_fifa,goals_fifa_events,goals_manifest,break_band_manifest,break_minute_commentary,treated_covariates,n_treated_breaks,wbgt_estimate,added_time_manifest,shot_level_xg,substitution_events,momentum_minute_level
1,15186710.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
2,15186720.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
3,15186836.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
4,15186873.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
5,15186526.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
6,15186850.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
7,15186853.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
8,15186874.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
9,15186899.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
10,15186945.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
11,15186904.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
12,15186951.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
13,15186783.0,1,1,1,1,1,0,1,1,0,1,2,1,0,0,0,0
14,15186837.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
15,15186811.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
16,15186832.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
17,15186501.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
18,15186773.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
19,15186854.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
20,15186751.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
21,15186709.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
22,15186504.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
23,15186687.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
24,15186722.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
25,15186490.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
26,15186731.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
27,15186798.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
28,15186806.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
29,15186856.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
30,15186859.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
31,15186878.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
32,15186879.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
33,15186905.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
34,15186906.0,1,1,1,1,1,0,1,1,0,1,2,1,0,0,0,0
35,15186957.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
36,15186963.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
37,15186499.0,1,1,1,1,1,0,1,1,0,1,2,1,0,0,0,0
38,15186827.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
39,15186840.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
40,15186800.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
41,15186769.0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
42,15186770.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
43,15186502.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
44,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
45,15186858.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
46,15186713.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
47,15186672.0,1,1,1,1,1,0,1,1,0,1,2,1,0,0,0,0
48,15186520.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
49,15186732.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
50,15186744.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
51,15186821.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
52,15186829.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
53,15186861.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
54,15186864.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
55,15186887.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
56,15186891.0,1,1,1,1,1,0,1,1,0,1,2,1,0,0,0,0
57,15186907.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
58,15186908.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
59,15186973.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
60,15186972.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
61,15186822.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
62,15186828.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
63,15186841.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
64,15186803.0,1,1,1,1,1,0,1,1,0,1,2,1,0,0,0,0
65,15186537.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
66,15186771.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
67,15186734.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
68,15186747.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
69,15186696.0,1,1,1,1,1,0,1,1,0,1,2,1,0,0,0,0
70,15186717.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
71,15186676.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
72,15186624.0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0
73,12813000.0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,0
74,12813012.0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,0
75,12813014.0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,0
76,12812998.0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,0
77,12812989.0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,0
78,12812995.0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,0
79,12813001.0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,0
80,12813020.0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,0
81,12813013.0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,0
82,12812992.0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,0
83,12813004.0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,0
84,12812997.0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,0
85,12813019.0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,0
86,12813018.0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,0
87,12812999.0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,0
88,12813011.0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,0
89,12813010.0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,0
90,12813009.0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,0
91,12813006.0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,0
92,12813007.0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,0
93,12812990.0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,0
94,12813002.0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,0
95,12812993.0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,0
96,12812991.0,1,1,1,1,1,0,1,0,1,1,2,1,1,0,0,0
97,12813016.0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,0
98,12812994.0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,0
99,12813017.0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,0
100,12813015.0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,0
101,12813008.0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,0
102,12812996.0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,0
103,12813003.0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,0
104,12813005.0,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,0
