source_name,repository,commit_hash,relative_path,sha256,bytes,rows,columns,missingness,retrieved_at,notes
wc2026-hydration-momentum,wc2026-hydration-momentum,03a88987adb8fe629b4e72f7f863a16dfe159291,data/treated_covariates.json,cf85a5535dc54cd889627edbf2e4244325bfbb024ea0a122721a9daa4a215247,72621,203.0,20.0,0.0,2026-07-24,
wc2026-hydration-momentum,wc2026-hydration-momentum,03a88987adb8fe629b4e72f7f863a16dfe159291,data/control_candidates_all.json,951be37170f585557ff5f8f816c70fc183e47aa188814f61595d69d2ade60478,2528704,8946.0,16.0,0.0,2026-07-24,
wc2026-hydration-momentum,wc2026-hydration-momentum,03a88987adb8fe629b4e72f7f863a16dfe159291,data/break_times_exact.json,2a4f7b8b8f4fd4a80b27b9a31d2d4ddab0eea2d50f5bda233235749dbf1a81fb,3326,32.0,6.0,0.0,2026-07-24,
wc2026-hydration-momentum,wc2026-hydration-momentum,03a88987adb8fe629b4e72f7f863a16dfe159291,data/manifest.json,0d4d5db71fc9200fbc6fe337ffaf0270e908aa5f9ee23afbcfb6d516f73dca73,208592,7.0,,,2026-07-24,
wc2026-hydration-momentum,wc2026-hydration-momentum,03a88987adb8fe629b4e72f7f863a16dfe159291,data/_gv.json,1df12237ad15525104292a97fdef63b7b94b9a5757a22ef6c67db11b92c34744,10630,71.0,8.0,0.0,2026-07-24,
FIFA-World-Cup-2026-Dataset,FIFA-World-Cup-2026-Dataset,8fcb734c8d8e14622659a52ca3ab5e0973376096,matches.csv,ff1019a47d009c5168f8460289c121129ec82050d4e663b3c17e001e3ed455a1,7632,104.0,17.0,0.1131,2026-07-24,
FIFA-World-Cup-2026-Dataset,FIFA-World-Cup-2026-Dataset,8fcb734c8d8e14622659a52ca3ab5e0973376096,matches_detailed.csv,aa2053eb43bf0466b009cde7e31b4e405405297ceca238bbbda4f26fb22213a0,22772,104.0,23.0,0.0836,2026-07-24,
FIFA-World-Cup-2026-Dataset,FIFA-World-Cup-2026-Dataset,8fcb734c8d8e14622659a52ca3ab5e0973376096,venues.csv,4ad2791336947450ed40d8f4f60f1b7d2e5d1aa0bf449042da7c6fcc3d7dec1c,1368,16.0,8.0,0.0,2026-07-24,
FIFA-World-Cup-2026-Dataset,FIFA-World-Cup-2026-Dataset,8fcb734c8d8e14622659a52ca3ab5e0973376096,match_events.csv,76b2ac1d118ea22a60bc2a925bbfe813bfd42c589cfb0ce35c1c436288d1e491,22098,834.0,6.0,0.0,2026-07-24,
FIFA-World-Cup-2026-Dataset,FIFA-World-Cup-2026-Dataset,8fcb734c8d8e14622659a52ca3ab5e0973376096,match_lineups.csv,058511f583677df7e7db6378a3dee6a2f33711eb6a869ca2fbcfc5c3da444256,130721,5408.0,7.0,0.0,2026-07-24,
FIFA-World-Cup-2026-Dataset,FIFA-World-Cup-2026-Dataset,8fcb734c8d8e14622659a52ca3ab5e0973376096,match_team_stats.csv,3c08421830ad8d3044e0b5dd0ff2e78674d1b8489f68b92ebfcc63824063635d,11694,208.0,12.0,0.0413,2026-07-24,
FIFA-World-Cup-2026-Dataset,FIFA-World-Cup-2026-Dataset,8fcb734c8d8e14622659a52ca3ab5e0973376096,player_stats.csv,79e1ed08f50bbe7d749394df98f68bc7ddcc9133fa22b5fdaab66a8a9c20af73,99794,1248.0,21.0,0.2772,2026-07-24,
FIFA-World-Cup-2026-Dataset,FIFA-World-Cup-2026-Dataset,8fcb734c8d8e14622659a52ca3ab5e0973376096,teams.csv,785dfa98a34f9c7b054426e03485601f0f93a782b129026a1ad4b75af09cef35,2382,48.0,8.0,0.0,2026-07-24,
FIFA-World-Cup-2026-Dataset,FIFA-World-Cup-2026-Dataset,8fcb734c8d8e14622659a52ca3ab5e0973376096,referees.csv,018be3dc4c6e2611737d9ebca78be2dd433c5e95a8535e4e9a9e4eba1b097f1e,907,28.0,4.0,0.0,2026-07-24,
FIFA-World-Cup-2026-Dataset,FIFA-World-Cup-2026-Dataset,8fcb734c8d8e14622659a52ca3ab5e0973376096,tournament_stages.csv,5c1dba41a592765281bdfab8e52bfce2f661b35a191a61b2c7cd56a1b37948f5,177,7.0,3.0,0.0,2026-07-24,
wc26-analytics,wc26-analytics,7e7b84a91f4edee24ba9e7c53717bb72fc193a08,wc26/fifa_pdf.py,946a608244665d9494ca8b9d9450caa9e33acd2a4863d42ab9fe231e408cdbea,26903,,,,2026-07-24,
wc26-analytics,wc26-analytics,7e7b84a91f4edee24ba9e7c53717bb72fc193a08,wc26/statsbomb.py,09dcf406c7a6053ece3557c16a2e7dc1da42cae7da1fb6e06e0a6e8874c142ca,8454,,,,2026-07-24,
wc26-analytics,wc26-analytics,7e7b84a91f4edee24ba9e7c53717bb72fc193a08,wc26/fetch.py,561ab31bbec4ac900ff38a6bbc0f6a2391bd1ac3e19dabe8d6702e65c775579e,18042,,,,2026-07-24,
