team,player,minute,direction,source,match_id,total_distance_m,zone4_m,zone5_m,high_speed_runs,sprints,top_speed_kmh,phys_matched,minutes_played,break2,entry_vs_break,timing_group,is_gk
Mexico,Alexis VEGA,79,on,pdf_marker,1,1915.4,104.0,48.9,28.0,10.0,28.0,True,11,,,after_break,False
Mexico,Armando GONZALEZ,76,on,pdf_marker,1,2086.0,186.9,78.4,25.0,14.0,32.0,True,14,,,after_break,False
Mexico,Gilberto MORA,66,on,pdf_marker,1,3082.9,251.5,46.6,43.0,17.0,27.1,True,24,,,after_break,False
Mexico,Luis CHAVEZ,66,on,pdf_marker,1,2876.7,249.1,46.8,42.0,16.0,27.1,True,24,,,after_break,False
South Africa,Thalente MBATHA,56,on,pdf_marker,1,3973.8,331.5,56.5,59.0,24.0,34.4,True,34,,,after_break,False
South Africa,Oswin APPOLLIS,77,on,pdf_marker,1,2145.3,183.1,38.3,37.0,16.0,29.9,True,13,,,after_break,False
South Africa,Evidence MAKGOPA,76,on,pdf_marker,1,2064.9,144.8,65.2,17.0,11.0,32.4,True,14,,,after_break,False
Mexico,Edson Omar Alvarez,76,on,lineup_derived,1,2007.7,143.9,104.6,28.0,15.0,31.5,True,14,,,after_break,False
South Korea,PARK Jinseob,84,on,pdf_marker,2,,,,,,,False,6,70.0,14.0,after_break,False
South Korea,OH Hyeongyu,69,on,pdf_marker,2,,,,,,,False,21,70.0,-1.0,at_break,False
South Korea,KIM Jingyu,84,on,pdf_marker,2,,,,,,,False,6,70.0,14.0,after_break,False
South Korea,EOM Jisung,69,on,pdf_marker,2,,,,,,,False,21,70.0,-1.0,at_break,False
Czechia,Adam HLOZEK,64,on,pdf_marker,2,3767.4,218.1,70.4,49.0,20.0,30.8,True,26,70.0,-6.0,before_break,False
Czechia,Mojmir CHYTIL,85,on,pdf_marker,2,1627.3,118.2,62.7,17.0,8.0,29.7,True,5,70.0,15.0,after_break,False
Czechia,Michal SADILEK,64,on,pdf_marker,2,3922.7,364.4,84.2,71.0,30.0,29.3,True,26,70.0,-6.0,before_break,False
Czechia,Tomas CHORY,64,on,pdf_marker,2,3339.2,213.2,49.5,36.0,18.0,28.3,True,26,70.0,-6.0,before_break,False
South Korea,Hee Chan Hwang,62,on,lineup_derived,2,,,,,,,False,28,70.0,-8.0,before_break,False
Canada,Cyle LARIN,76,on,pdf_marker,3,2068.2,144.1,69.7,21.0,10.0,31.3,True,14,69.0,7.0,after_break,False
Canada,Jacob SHAFFELBURG,61,on,pdf_marker,3,4045.5,227.2,181.7,46.0,20.0,31.6,True,29,69.0,-8.0,before_break,False
Canada,Ali AHMED,61,on,pdf_marker,3,3903.0,312.5,75.6,47.0,26.0,26.6,True,29,69.0,-8.0,before_break,False
Canada,Jonathan OSORIO,89,on,lineup_derived,3,644.0,40.0,10.0,4.0,23.0,24.0,True,1,69.0,20.0,after_break,True
Canada,Promise DAVID,61,on,pdf_marker,3,7432.5,314.3,205.3,84.0,32.0,31.7,True,29,69.0,-8.0,before_break,False
Bosnia and Herzegovina,Armin GIGOVIC,62,on,pdf_marker,3,3998.3,318.0,135.0,45.0,22.0,29.5,True,28,69.0,-7.0,before_break,False
Bosnia and Herzegovina,Samed BAZDAR,62,on,pdf_marker,3,3649.9,213.4,124.5,28.0,13.0,29.8,True,28,69.0,-7.0,before_break,False
Bosnia and Herzegovina,Ivan SUNJIC,74,on,pdf_marker,3,2526.1,108.0,30.1,37.0,10.0,26.5,True,16,69.0,5.0,after_break,False
Bosnia and Herzegovina,Dzenis BURNIC,84,on,pdf_marker,3,1352.0,37.9,15.6,15.0,3.0,26.7,True,6,69.0,15.0,after_break,False
Bosnia and Herzegovina,Kerim ALAJBEGOVIC,74,on,pdf_marker,3,2352.7,93.0,57.8,25.0,7.0,31.6,True,16,69.0,5.0,after_break,False
USA,Ricardo PEPI,72,on,pdf_marker,4,3341.0,239.9,163.5,45.0,21.0,30.8,True,18,68.0,4.0,after_break,False
USA,Sebastian BERHALTER,45,on,pdf_marker,4,6313.5,402.8,65.2,92.0,28.0,31.0,True,45,68.0,-23.0,before_break,False
USA,Timothy WEAH,72,on,pdf_marker,4,3275.1,352.6,42.0,51.0,25.0,28.4,True,18,68.0,4.0,after_break,False
Paraguay,Gustavo VELAZQUEZ,80,on,pdf_marker,4,2009.8,112.6,45.0,19.0,9.0,31.3,True,10,68.0,12.0,after_break,False
Paraguay,Ramon SOSA,79,on,pdf_marker,4,2289.6,192.1,8.0,36.0,16.0,26.1,True,11,68.0,11.0,after_break,False
Paraguay,MAURICIO,45,on,pdf_marker,4,5908.7,438.0,49.0,95.0,32.0,27.6,True,45,68.0,-23.0,before_break,False
