team,player,minute,direction,source,match_id
Mexico,Erik LIRA,76,off,pdf_marker,1
Mexico,Alvaro FIDALGO,66,off,pdf_marker,1
Mexico,Raul JIMENEZ,76,off,pdf_marker,1
Mexico,Julian QUINONES,79,off,pdf_marker,1
Mexico,Brian GUTIERREZ,66,off,pdf_marker,1
Mexico,Alexis VEGA,79,on,pdf_marker,1
Mexico,Armando GONZALEZ,76,on,pdf_marker,1
Mexico,Gilberto MORA,66,on,pdf_marker,1
Mexico,Luis CHAVEZ,66,on,pdf_marker,1
South Africa,Aubrey MODIBA,77,off,pdf_marker,1
South Africa,Lyle FOSTER,56,off,pdf_marker,1
South Africa,Iqraam RAYNERS,76,off,pdf_marker,1
South Africa,Jayden ADAMS,62,off,pdf_marker,1
South Africa,Thalente MBATHA,56,on,pdf_marker,1
South Africa,Oswin APPOLLIS,77,on,pdf_marker,1
South Africa,Evidence MAKGOPA,76,on,pdf_marker,1
Mexico,Edson Omar Alvarez,76,on,lineup_derived,1
South Korea,LEE Gihyuk,96,off,pdf_marker_late,2
South Korea,HWANG Inbeom,84,off,pdf_marker,2
South Korea,PAIK Seungho,84,off,pdf_marker,2
South Korea,LEE Taeseok,69,off,pdf_marker,2
South Korea,PARK Jinseob,84,on,pdf_marker,2
South Korea,OH Hyeongyu,69,on,pdf_marker,2
South Korea,KIM Jingyu,84,on,pdf_marker,2
South Korea,EOM Jisung,69,on,pdf_marker,2
Czechia,Patrik SCHICK,64,off,pdf_marker,2
Czechia,Pavel SULC,64,off,pdf_marker,2
Czechia,Lukas PROVOD,64,off,pdf_marker,2
Czechia,Alexandr SOJKA,85,off,pdf_marker,2
Czechia,Adam HLOZEK,64,on,pdf_marker,2
Czechia,Mojmir CHYTIL,85,on,pdf_marker,2
Czechia,Michal SADILEK,64,on,pdf_marker,2
Czechia,Tomas CHORY,64,on,pdf_marker,2
South Korea,Heung Min Son,69,off,lineup_derived,2
South Korea,Jae Sung Lee,62,off,lineup_derived,2
South Korea,Hee Chan Hwang,62,on,lineup_derived,2
Canada,Jonathan DAVID,61,off,pdf_marker,3
Canada,Liam MILLAR,61,off,pdf_marker,3
Canada,Tajon BUCHANAN,61,off,pdf_marker,3
Canada,Cyle LARIN,76,on,pdf_marker,3
Canada,Jacob SHAFFELBURG,61,on,pdf_marker,3
Canada,Ali AHMED,61,on,pdf_marker,3
Canada,Jonathan OSORIO,89,on,lineup_derived,3
Canada,Promise DAVID,61,on,pdf_marker,3
Bosnia and Herzegovina,Sead KOLASINAC,84,off,pdf_marker,3
Bosnia and Herzegovina,Ivan BASIC,62,off,pdf_marker,3
Bosnia and Herzegovina,Amar MEMIC,74,off,pdf_marker,3
Bosnia and Herzegovina,Nikola KATIC,93,off,pdf_marker_late,3
Bosnia and Herzegovina,Esmir BAJRAKTAREVIC,74,off,pdf_marker,3
Bosnia and Herzegovina,Jovo LUKIC,62,off,pdf_marker,3
Bosnia and Herzegovina,Armin GIGOVIC,62,on,pdf_marker,3
Bosnia and Herzegovina,Samed BAZDAR,62,on,pdf_marker,3
Bosnia and Herzegovina,Ivan SUNJIC,74,on,pdf_marker,3
Bosnia and Herzegovina,Dzenis BURNIC,84,on,pdf_marker,3
Bosnia and Herzegovina,Kerim ALAJBEGOVIC,74,on,pdf_marker,3
Canada,Tanitoluwa Oluwatimilehin Oluwaseyi,76,off,lineup_derived,3
USA,Sergino DEST,72,off,pdf_marker,4
USA,Christian PULISIC,45,off,pdf_marker,4
USA,Malik TILLMAN,82,off,pdf_marker,4
USA,Folarin BALOGUN,72,off,pdf_marker,4
USA,Ricardo PEPI,72,on,pdf_marker,4
USA,Sebastian BERHALTER,45,on,pdf_marker,4
USA,Timothy WEAH,72,on,pdf_marker,4
Paraguay,Juan Jose CACERES,80,off,pdf_marker,4
Paraguay,Junior ALONSO,93,off,pdf_marker_late,4
Paraguay,Diego GOMEZ,79,off,lineup_derived,4
Paraguay,Antonio SANABRIA,62,off,pdf_marker,4
Paraguay,Miguel ALMIRON,79,off,pdf_marker,4
Paraguay,Damian BOBADILLA,45,off,pdf_marker,4
Paraguay,Gustavo VELAZQUEZ,80,on,pdf_marker,4
Paraguay,Ramon SOSA,79,on,pdf_marker,4
Paraguay,MAURICIO,45,on,pdf_marker,4
Paraguay,Alejandro ROMERO GAMARRA,80,on,pdf_marker,4
Paraguay,Alex ARCE,62,on,pdf_marker,4
USA,Giovanni Alejandro Reyna,82,on,lineup_derived,4
Qatar,JASSEM GABER,60,off,pdf_marker,5
Qatar,EDMILSON JUNIOR,89,off,pdf_marker,5
Qatar,AYOUB ALOUI,60,off,pdf_marker,5
Qatar,YUSUF ABDURISAG,60,off,pdf_marker,5
Qatar,ASSIM MADIBO,79,off,pdf_marker,5
Qatar,AHMED ALAAELDIN,60,on,pdf_marker,5
Qatar,HASSAN ALHAYDOS,89,on,pdf_marker,5
Qatar,KARIM BOUDIAF,60,on,pdf_marker,5
Qatar,AHMED FATHY,60,on,pdf_marker,5
Qatar,MOHAMED MANAI,79,on,pdf_marker,5
Switzerland,Remo FREULER,89,off,pdf_marker,5
Switzerland,Dan NDOYE,66,off,pdf_marker,5
Switzerland,Ricardo RODRIGUEZ,89,off,pdf_marker,5
Switzerland,Ruben VARGAS,79,off,pdf_marker,5
Switzerland,Michel AEBISCHER,66,off,pdf_marker,5
Switzerland,Miro MUHEIM,89,on,lineup_derived,5
Switzerland,Johan MANZAMBI,66,on,pdf_marker,5
Switzerland,Ardon JASHARI,89,on,pdf_marker,5
Switzerland,Fabian RIEDER,66,on,pdf_marker,5
Switzerland,Zeki AMDOUNI,79,on,pdf_marker,5
Brazil,LUCAS PAQUETA,61,off,pdf_marker,6
Brazil,IGOR THIAGO,62,off,pdf_marker,6
Brazil,MATHEUS CUNHA,61,on,pdf_marker,6
Brazil,FABINHO,45,on,pdf_marker,6
Brazil,DANILO SANTOS,80,on,pdf_marker,6
Morocco,Noussair MAZRAOUI,80,off,pdf_marker,6
Morocco,Brahim DIAZ,65,off,pdf_marker,6
Morocco,Ismael SAIBARI,89,off,pdf_marker,6
Morocco,Bilal EL KHANNOUSS,80,off,pdf_marker,6
Morocco,Chemsdine TALBI,65,on,pdf_marker,6
Morocco,Soufiane RAHIMI,89,on,pdf_marker,6
Morocco,Samir EL MOURABET,65,on,pdf_marker,6
Morocco,Ayoube AMAIMOUNI,80,on,pdf_marker,6
Morocco,Anass SALAH EDDINE,80,on,pdf_marker,6
Brazil,Henrique,46,off,lineup_derived,6
Brazil,GUIMARAESBruno Bruno,80,off,lineup_derived,6
Brazil,Luiz Danilo,46,on,lineup_derived,6
Brazil,Henrique André Luiz,61,on,lineup_derived,6
Brazil,IBANEZRoger Roger,46,off,lineup_derived,6
Morocco,Azz-Eddine Ounahi,64,off,lineup_derived,6
Haiti,Ruben PROVIDENCE,85,off,pdf_marker,7
Haiti,Wilson ISIDOR,76,off,pdf_marker,7
Haiti,Lenny JOSEPH,76,on,pdf_marker,7
Haiti,Yassin FORTUNE,85,on,pdf_marker,7
Haiti,Josue CASIMIR,61,on,pdf_marker,7
Scotland,Aaron HICKEY,75,off,pdf_marker,7
Scotland,Che ADAMS,75,off,pdf_marker,7
Scotland,Lawrence SHANKLAND,83,off,pdf_marker,7
Scotland,Lyndon DYKES,75,on,pdf_marker,7
Scotland,Ryan CHRISTIE,75,on,pdf_marker,7
Scotland,Nathan PATTERSON,75,on,pdf_marker,7
Scotland,Findlay CURTIS,83,on,pdf_marker,7
Haiti,Don Deedson Deedson,61,off,lineup_derived,7
Scotland,Ben Gannon Gannon-Doak,75,off,lineup_derived,7
Australia,Jacob ITALIANO,74,off,pdf_marker,8
Australia,Jordan BOS,84,off,pdf_marker,8
Australia,Mohamed TOURE,74,off,pdf_marker,8
Australia,Nestory IRANKUNDA,61,off,pdf_marker,8
Australia,Aziz BEHICH,84,on,pdf_marker,8
Australia,Jackson IRVINE,84,on,pdf_marker,8
Australia,Nishan VELUPILLAY,61,on,pdf_marker,8
Australia,Tete YENGI,74,on,pdf_marker,8
Türkiye,Orkun KOKCU,62,off,pdf_marker,8
Türkiye,Kerem AKTURKOGLU,85,off,pdf_marker,8
Türkiye,Salih OZCAN Third,81,on,pdf_marker,8
Türkiye,Deniz GUL,85,on,pdf_marker,8
Türkiye,Kenan YILDIZ,45,on,pdf_marker,8
Türkiye,Irfan Can KAHVECI,80,on,lineup_derived,8
Türkiye,Yunus AKGUN,62,on,pdf_marker,8
Australia,Jason Kato Geria,74,on,lineup_derived,8
Australia,Paul Michael Junior Okon-Engstler,83,off,lineup_derived,8
Türkiye,Mehmet Zeki Celik,80,off,lineup_derived,8
Türkiye,Ismailİsma Yuksek,80,off,lineup_derived,8
Türkiye,Barı ş Alper Yilmaz,46,off,lineup_derived,8
Germany,Jonathan TAH,73,off,pdf_marker,9
Germany,Joshua KIMMICH,83,off,pdf_marker,9
Germany,Jamal MUSIALA,64,off,pdf_marker,9
Germany,Nathaniel BROWN,73,off,pdf_marker,9
Germany,Felix NMECHA,73,off,pdf_marker,9
Germany,Antonio RUEDIGER,73,on,pdf_marker,9
Germany,Leon GORETZKA,73,on,pdf_marker,9
Germany,David RAUM,73,on,pdf_marker,9
Germany,Deniz UNDAV,64,on,pdf_marker,9
Curaçao,Tahith CHONG,83,off,pdf_marker,9
Curaçao,Jeremy ANTONISSE,45,on,pdf_marker,9
Curaçao,Jearl MARGARITHA,65,on,pdf_marker,9
Curaçao,Gervane KASTANEER,83,on,pdf_marker,9
Germany,Waldemar Anton,83,on,lineup_derived,9
Curaçao,Jürgen Leonardo Locadia,65,off,lineup_derived,9
Curaçao,Juniffer Naigelino Hansen,46,off,lineup_derived,9
Netherlands,Ryan GRAVENBERCH,81,off,pdf_marker,10
Netherlands,Cody GAKPO,84,off,pdf_marker,10
Netherlands,Tijjani REIJNDERS,71,off,pdf_marker,10
Netherlands,Donyell MALEN,70,off,pdf_marker,10
Netherlands,Crysencio,70,off,pdf_marker,10
Netherlands,Nathan AKE,81,on,pdf_marker,10
Netherlands,Memphis DEPAY,70,on,pdf_marker,10
Netherlands,Brian BROBBEY,84,on,pdf_marker,10
Netherlands,Teun KOOPMEINERS,70,on,pdf_marker,10
Netherlands,Quinten TIMBER,71,on,pdf_marker,10
Japan,Takefusa KUBO,75,off,pdf_marker,10
Japan,Ritsu DOAN,75,off,pdf_marker,10
Japan,Daizen MAEDA,66,off,pdf_marker,10
Japan,Tsuyoshi WATANABE,75,off,pdf_marker,10
Japan,Ayase UEDA,84,off,pdf_marker,10
Japan,Yukinari SUGAWARA,75,on,pdf_marker,10
Japan,Junya ITO,66,on,pdf_marker,10
Japan,Koki OGAWA,75,on,pdf_marker,10
Japan,Takehiro TOMIYASU,75,on,pdf_marker,10
Japan,Kento SHIOGAI,84,on,pdf_marker,10
Côte d'Ivoire,Seko FOFANA,77,off,pdf_marker,11
Côte d'Ivoire,Elye WAHI,56,off,pdf_marker,11
Côte d'Ivoire,Guela DOUE,89,off,pdf_marker,11
